"Astrocytes1" "Astrocytes2" "Endothelial1" "Endothelial2" "Microglia1" "Microglia2" "MO1" "MO2" "Neuron1" "Neuron2" "NFO1" "NFO2" "OPC1" "OPC2" "WC1" "WC2" "WC3"
"XLOC_000001" 0 54 84 107 378 324 126 271 252 143 159 174 294 235 189 204 219
"XLOC_000002" 219 189 378 324 107 235 54 174 204 143 0 84 159 126 252 271 294
"XLOC_000003" 189 294 378 324 204 126 84 0 159 143 107 54 271 174 219 235 252
"XLOC_000004" 107 143 378 271 0 54 235 189 252 159 294 84 324 126 174 204 219
"XLOC_000005" 54 0 235 204 189 219 378 294 174 252 324 271 84 126 107 143 159
"XLOC_000006" 204 219 143 107 126 159 0 235 271 252 54 84 174 189 324 294 378
"XLOC_000007" 235 271 324 294 54 0 107 84 219 378 204 126 252 143 174 159 189
"XLOC_000008" 0 107 126 84 143 54 294 324 189 252 378 271 159 174 235 219 204
"XLOC_000009" 252 324 294 271 54 0 143 126 219 204 378 107 235 84 159 189 174
"XLOC_000010" 54 107 252 235 204 219 378 324 174 84 189 271 159 294 126 0 143
"XLOC_000011" 378 324 54 0 84 143 107 174 126 159 189 204 235 219 294 252 271
"XLOC_000012" 0 54 107 84 143 126 174 204 159 189 271 294 324 378 235 252 219
"XLOC_000013" 84 107 324 378 252 294 189 235 0 54 219 174 271 204 159 143 126
"XLOC_000014" 378 324 174 159 126 84 0 54 235 271 189 107 204 143 252 219 294
"XLOC_000015" 174 189 378 324 54 0 84 107 235 271 294 126 252 219 204 159 143
"XLOC_000016" 294 271 378 324 54 0 126 159 84 107 189 143 252 174 204 219 235
"XLOC_000017" 54 204 143 126 159 84 174 235 324 271 0 107 189 219 294 378 252
"XLOC_000018" 126 143 189 107 54 0 84 159 174 204 294 235 324 378 252 219 271
"XLOC_000019" 54 84 0 126 189 204 107 143 378 324 174 159 219 235 252 271 294
"XLOC_000020" 219 252 378 324 126 0 54 84 271 294 189 107 235 143 174 159 204
"XLOC_000021" 378 324 271 252 204 189 107 0 159 126 54 84 235 294 219 174 143
"XLOC_000022" 219 252 159 324 84 54 204 143 378 294 271 0 174 189 126 107 235
"XLOC_000023" 84 126 107 54 0 143 189 174 324 378 204 159 235 219 252 294 271
"XLOC_000024" 126 107 324 378 159 0 143 54 294 235 84 174 204 189 219 252 271
"XLOC_000025" 0 204 219 54 84 107 126 235 378 271 143 159 174 189 294 252 324
"XLOC_000026" 252 0 54 219 84 107 126 143 235 159 174 189 378 204 294 324 271
"XLOC_000027" 294 324 107 84 54 0 378 271 126 143 252 235 174 159 204 219 189
"XLOC_000028" 324 378 252 219 126 189 159 174 0 84 143 107 54 204 271 235 294
"XLOC_000029" 235 219 324 378 0 54 252 84 174 107 189 126 271 294 143 204 159
"XLOC_000030" 219 159 107 84 54 0 324 378 189 126 271 294 235 252 143 204 174
"XLOC_000031" 252 235 84 107 0 54 219 189 324 378 271 143 294 204 159 126 174
"XLOC_000032" 189 204 107 84 54 0 174 126 143 159 294 271 378 324 252 235 219
"XLOC_000033" 235 174 0 54 84 107 204 126 219 189 378 324 159 143 294 271 252
"XLOC_000034" 294 235 54 107 0 143 219 252 159 174 378 324 126 84 204 189 271
"XLOC_000035" 189 174 219 204 143 126 378 294 107 159 324 271 252 235 0 84 54
"XLOC_000036" 324 378 0 159 54 84 107 126 252 204 189 143 219 174 294 235 271
"XLOC_000037" 219 204 294 271 324 378 252 235 189 143 54 0 126 107 84 174 159
"XLOC_000038" 126 143 54 84 107 0 174 159 324 294 252 235 378 271 189 204 219
"XLOC_000039" 235 204 107 84 54 0 378 252 174 159 324 294 271 219 126 143 189
"XLOC_000040" 235 204 54 0 107 84 324 294 174 252 378 271 219 189 159 143 126
"XLOC_000041" 271 204 84 54 143 107 324 294 0 235 378 189 252 126 174 219 159
"XLOC_000042" 143 84 189 204 324 378 252 271 174 126 235 294 159 219 107 54 0
"XLOC_000043" 0 189 54 204 324 378 84 294 219 107 126 143 235 159 174 252 271
"XLOC_000044" 0 54 271 294 324 378 159 174 107 143 84 126 252 204 189 235 219
"XLOC_000045" 84 143 126 0 204 174 159 235 378 252 107 54 189 219 271 294 324
"XLOC_000046" 378 324 54 0 159 204 84 143 235 174 107 126 189 219 271 294 252
"XLOC_000047" 107 84 54 0 294 324 378 271 235 252 126 189 143 204 174 219 159
"XLOC_000048" 235 189 54 0 324 378 294 159 271 252 84 126 107 143 174 204 219
"XLOC_000049" 219 252 378 324 271 294 159 204 189 235 0 107 54 84 174 143 126
"XLOC_000050" 235 204 54 143 174 378 107 126 252 324 271 294 219 189 0 159 84
"XLOC_000051" 219 252 189 84 324 378 126 143 294 271 174 235 54 204 159 0 107
"XLOC_000052" 378 294 54 0 174 204 219 143 324 271 126 189 235 252 84 107 159
