tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
CUFF.1.1	-	-	CUFF.1	-	-	chr1:4678679-4679270	591	39.4089	8.07033	4.65727	7.62098	OK
CUFF.2.1	-	-	CUFF.2	-	-	chr1:4763978-4764155	177	48.9367	17.3197	1.00978	4.84692	OK
CUFF.3.1	-	-	CUFF.3	-	-	chr1:4761260-4762230	970	117.897	23.2444	17.5045	22.2584	OK
CUFF.4.1	-	-	CUFF.4	-	-	chr1:4847791-4848058	267	79.4515	17.0302	4.28417	10.4427	OK
CUFF.6.1	-	-	CUFF.6	-	-	chr1:4869343-4870820	1477	117.319	21.3864	17.6189	21.4428	OK
CUFF.5.1	-	-	CUFF.5	-	-	chr1:4876836-4879799	335	22.3253	5.80986	1.81398	4.90841	OK
CUFF.8.1	-	-	CUFF.8	-	-	chr1:4878232-4878785	553	6.5597	1.16081	0.387841	1.74529	OK
CUFF.11.1	-	-	CUFF.11	-	-	chr1:4880222-4880742	520	10.2026	1.91167	0.756166	2.40598	OK
CUFF.12.1	-	-	CUFF.12	-	-	chr1:4881228-4883607	1032	20.5522	3.79169	2.59782	4.3297	OK
CUFF.9.1	-	-	CUFF.9	-	-	chr1:4766478-4775821	1017	174.874	32.2733	29.6785	34.9109	OK
CUFF.13.1	-	-	CUFF.13	-	-	chr1:4897021-4897842	821	2.21813	0.672895	0.261238	1.04495	OK
CUFF.7.1	-	-	CUFF.7	-	-	chr1:4797932-4829489	444	102.031	18.7724	15.6208	22.061	OK
CUFF.10.1	-	-	CUFF.10	-	-	chr1:4831044-4836812	1938	42.0327	8.04782	7.1921	8.90354	OK
CUFF.14.1	-	-	CUFF.14	-	-	chr1:4899652-5009982	2144	23.0286	4.81361	3.96808	5.50196	OK
CUFF.15.1	-	-	CUFF.15	-	-	chr1:3194474-3661614	7636	5.81836	1.09794	0.911341	1.28547	OK
CUFF.15.2	-	-	CUFF.15	-	-	chr1:3194474-3309290	6473	9.72492	1.83512	1.60148	2.06535	OK
CUFF.15.3	-	-	CUFF.15	-	-	chr1:3313099-3661614	1924	10.7347	2.02566	1.5609	2.50565	OK
CUFF.16.1	-	-	CUFF.16	-	-	chr1:3189832-3193564	3732	14.1776	2.67536	2.32752	3.01715	OK
CUFF.17.1	-	-	CUFF.17	-	-	chr1:3193564-3194394	830	11.7174	2.54352	1.50736	3.23006	OK
CUFF.21.1	-	-	CUFF.21	-	-	chr1:6430716-6430903	187	64.1795	13.3615	0.955776	4.58773	OK
CUFF.24.1	-	-	CUFF.24	-	-	chr1:5073181-5152495	1913	142.117	26.1831	24.3064	28.1095	OK
CUFF.24.2	-	-	CUFF.24	-	-	chr1:5073181-5152495	1859	65.4126	12.0514	10.6674	13.441	OK
CUFF.18.1	-	-	CUFF.18	-	-	chr1:6204772-6220158	495	21.2453	4.53077	2.09421	4.91057	OK
CUFF.19.1	-	-	CUFF.19	-	-	chr1:6224044-6228623	576	21.1237	3.91606	1.98589	4.84061	OK
CUFF.22.1	-	-	CUFF.22	-	-	chr1:6229957-6235105	903	4.5726	0.880931	0.347786	1.44083	OK
CUFF.22.2	-	-	CUFF.22	-	-	chr1:6229957-6237892	1295	25.4192	4.89712	4.05228	5.75681	OK
CUFF.20.1	-	-	CUFF.20	-	-	chr1:6238143-6240513	2287	16.8695	3.10623	2.48519	3.71996	OK
CUFF.20.2	-	-	CUFF.20	-	-	chr1:6238143-6265626	4301	20.9675	3.86081	3.42921	4.29737	OK
CUFF.23.1	-	-	CUFF.23	-	-	chr1:6240727-6241863	1136	11.5583	2.25178	1.5104	2.92639	OK
CUFF.25.1	-	-	CUFF.25	-	-	chr1:7167757-7168756	999	69.3555	12.784	9.4464	12.7383	OK
CUFF.27.1	-	-	CUFF.27	-	-	chr1:9535503-9537509	2006	74.7051	13.8475	11.8144	14.5408	OK
CUFF.26.1	-	-	CUFF.26	-	-	chr1:7079108-7163568	4983	17.4573	3.17478	2.78552	3.5601	OK
CUFF.26.2	-	-	CUFF.26	-	-	chr1:7109936-7163568	4836	9.17635	1.66881	1.36762	1.96691	OK
CUFF.26.3	-	-	CUFF.26	-	-	chr1:7145198-7163568	4423	3.63302	0.660699	0.463744	0.851603	OK
CUFF.29.1	-	-	CUFF.29	-	-	chr1:9772188-9772425	237	97.8716	33.2893	7.08888	14.0269	OK
CUFF.28.1	-	-	CUFF.28	-	-	chr1:9538144-9566974	2046	4.05259	0.763875	0.460627	1.0556	OK
CUFF.28.2	-	-	CUFF.28	-	-	chr1:9538144-9566974	1849	8.42467	1.58797	1.11608	2.06045	OK
CUFF.28.3	-	-	CUFF.28	-	-	chr1:9538145-9566974	2046	2.07541	0.391195	0.172735	0.614169	OK
CUFF.28.4	-	-	CUFF.28	-	-	chr1:9538145-9566974	2004	4.51392	0.850831	0.530161	1.17813	OK
CUFF.31.1	-	-	CUFF.31	-	-	chr1:9889516-9890853	1337	20.5245	4.54002	3.39547	5.13331	OK
CUFF.32.1	-	-	CUFF.32	-	-	chr1:9933679-9934091	412	18.5119	5.1478	2.08229	4.77192	OK
CUFF.33.1	-	-	CUFF.33	-	-	chr1:9932170-9933628	1067	8.56417	1.88857	1.21382	2.54903	OK
CUFF.33.2	-	-	CUFF.33	-	-	chr1:9932170-9933628	1073	35.0493	7.72908	6.51044	8.92171	OK
CUFF.34.1	-	-	CUFF.34	-	-	chr1:9710646-9727130	4869	20.6938	3.77641	3.36243	4.17735	OK
CUFF.37.1	-	-	CUFF.37	-	-	chr1:9735531-9738511	2980	31.6745	5.77771	5.00205	6.33353	OK
CUFF.30.1	-	-	CUFF.30	-	-	chr1:9657546-9668568	3792	9.99232	1.99113	1.67795	2.30011	OK
CUFF.35.1	-	-	CUFF.35	-	-	chr1:9671869-9690283	933	2.86993	0.562429	0.19078	0.953898	OK
CUFF.35.2	-	-	CUFF.35	-	-	chr1:9671869-9690283	1113	2.77636	0.544091	0.192292	0.923002	OK
CUFF.35.3	-	-	CUFF.35	-	-	chr1:9671869-9690283	1108	5.73373	1.12366	0.657329	1.58532	OK
CUFF.36.1	-	-	CUFF.36	-	-	chr1:8350424-8352017	1593	6.16259	1.1159	0.740502	1.481	OK
CUFF.40.1	-	-	CUFF.40	-	-	chr1:8352168-9290506	5407	30.6525	6.67517	6.13848	7.21289	OK
CUFF.40.2	-	-	CUFF.40	-	-	chr1:8453322-9290506	3613	7.43522	1.61916	1.27163	1.95956	OK
CUFF.42.1	-	-	CUFF.42	-	-	chr1:8781991-8782266	275	134.078	24.695	7.01922	12.7386	OK
CUFF.38.1	-	-	CUFF.38	-	-	chr1:9788236-9871686	766	36.1985	7.33745	5.8301	8.89857	OK
CUFF.38.2	-	-	CUFF.38	-	-	chr1:9788278-9871686	831	18.6402	3.77837	2.5948	4.91356	OK
CUFF.39.1	-	-	CUFF.39	-	-	chr1:9792380-9792563	183	304.2	63.4179	6.25067	15.236	OK
CUFF.41.1	-	-	CUFF.41	-	-	chr1:9871840-9879096	611	45.7434	8.52913	6.85675	10.2851	OK
CUFF.43.1	-	-	CUFF.43	-	-	chr1:9881442-9889134	423	63.9564	12.0624	5.6619	9.8872	OK
CUFF.45.1	-	-	CUFF.45	-	-	chr1:10222868-10223262	394	11.9452	2.36749	0.725808	2.63105	OK
CUFF.44.1	-	-	CUFF.44	-	-	chr1:10122549-10126941	1225	13.092	2.4369	1.69247	3.15149	OK
CUFF.47.1	-	-	CUFF.47	-	-	chr1:10014957-10028212	1426	306.558	56.303	53.2822	59.4965	OK
CUFF.48.1	-	-	CUFF.48	-	-	chr1:11051451-11079955	515	5.78728	1.18582	0.416459	1.59642	OK
CUFF.50.1	-	-	CUFF.50	-	-	chr1:11174525-11190112	638	9.556	1.96632	0.952481	2.5773	OK
CUFF.52.1	-	-	CUFF.52	-	-	chr1:11290770-11291028	258	17.1874	5.21398	0.831303	3.74086	OK
CUFF.53.1	-	-	CUFF.53	-	-	chr1:11291709-11292898	1189	9.04052	1.63537	1.05224	2.19467	OK
CUFF.54.1	-	-	CUFF.54	-	-	chr1:11404459-11535296	601	11.3703	2.14052	1.01112	2.73597	OK
CUFF.55.1	-	-	CUFF.55	-	-	chr1:11589710-11589924	214	22.0391	7.8001	0.835188	4.0089	OK
CUFF.51.1	-	-	CUFF.51	-	-	chr1:11198625-11288159	1033	3.46846	0.68599	0.294562	1.05201	OK
CUFF.51.2	-	-	CUFF.51	-	-	chr1:11198625-11288159	1026	3.58226	0.708497	0.297009	1.10318	OK
CUFF.46.1	-	-	CUFF.46	-	-	chr1:10028326-10117640	3127	8.41595	1.63602	1.32371	1.94307	OK
CUFF.46.2	-	-	CUFF.46	-	-	chr1:10037518-10117640	2699	3.2432	0.630463	0.397893	0.866838	OK
CUFF.46.3	-	-	CUFF.46	-	-	chr1:10064529-10117640	2548	3.41543	0.663944	0.423303	0.907078	OK
