tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
CUFF.1.1	-	-	CUFF.1	-	-	chr1:3190298-3190720	422	9.4093	1.91468	0.876639	2.92213	OK
CUFF.2.1	-	-	CUFF.2	-	-	chr1:3190963-3191408	445	5.8547	1.19136	0.46185	1.8474	OK
CUFF.3.1	-	-	CUFF.3	-	-	chr1:3191545-3192028	483	5.80124	1.18048	0.510617	1.78716	OK
CUFF.4.1	-	-	CUFF.4	-	-	chr1:3195124-3196094	970	4.41138	0.897665	0.508511	1.27128	OK
CUFF.5.1	-	-	CUFF.5	-	-	chr1:3204065-3205009	944	5.02594	1.02272	0.609603	1.39338	OK
CUFF.6.1	-	-	CUFF.6	-	-	chr1:3205245-3205992	747	4.683	0.952935	0.495237	1.37566	OK
CUFF.7.1	-	-	CUFF.7	-	-	chr1:4678059-4678166	107	431.511	87.8076	3.4574	11.5247	OK
CUFF.8.1	-	-	CUFF.8	-	-	chr1:4683465-4683612	147	73.0299	14.8607	3.07586	9.5072	OK
CUFF.9.1	-	-	CUFF.9	-	-	chr1:4678681-4679320	639	80.1971	16.3192	12.222	17.4325	OK
CUFF.11.1	-	-	CUFF.11	-	-	chr1:4761260-4762230	970	127.141	25.8717	21.5693	26.7816	OK
CUFF.12.1	-	-	CUFF.12	-	-	chr1:4774038-4775820	315	90.0296	18.32	10.4393	17.2248	OK
CUFF.13.1	-	-	CUFF.13	-	-	chr1:4766457-4772816	717	60.2923	12.2688	9.28724	13.8735	OK
CUFF.15.1	-	-	CUFF.15	-	-	chr1:4835546-4836633	1087	5.93503	1.20771	0.756295	1.62603	OK
CUFF.16.1	-	-	CUFF.16	-	-	chr1:4847565-4848059	494	23.0698	4.69443	2.82906	5.82455	OK
CUFF.17.1	-	-	CUFF.17	-	-	chr1:4869578-4870769	1191	17.7021	3.63881	2.79553	4.45214	OK
CUFF.14.1	-	-	CUFF.14	-	-	chr1:4818679-4835262	742	15.5742	3.16918	2.24083	4.0335	OK
CUFF.19.1	-	-	CUFF.19	-	-	chr1:4881988-4883631	296	82.4398	16.7755	9.02636	16.1086	OK
CUFF.18.1	-	-	CUFF.18	-	-	chr1:4876910-4879677	141	161.136	32.7893	21.0424	44.0888	OK
CUFF.20.1	-	-	CUFF.20	-	-	chr1:4900399-5009535	950	11.4068	2.32114	1.60092	3.02876	OK
CUFF.21.1	-	-	CUFF.21	-	-	chr1:5073199-5152392	1738	128.209	26.0891	24.0401	28.2057	OK
CUFF.21.2	-	-	CUFF.21	-	-	chr1:5091153-5152392	1070	67.6016	13.7561	11.865	15.6787	OK
CUFF.22.1	-	-	CUFF.22	-	-	chr1:6204778-6218066	306	9.80479	1.99516	0.671645	3.22389	OK
CUFF.23.1	-	-	CUFF.23	-	-	chr1:6230040-6230452	412	7.1213	1.4491	0.598611	2.29468	OK
CUFF.10.1	-	-	CUFF.10	-	-	chr1:3206815-3661537	1339	3.82772	0.778896	0.398101	1.16113	OK
CUFF.10.2	-	-	CUFF.10	-	-	chr1:3313055-3661537	1891	9.53276	1.93981	1.49178	2.38684	OK
