tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
CUFF.1.1	-	-	CUFF.1	-	-	chr1:3047564-3048060	496	7.7961	2.02719	0.798155	2.53958	OK
CUFF.2.1	-	-	CUFF.2	-	-	chr1:4683464-4683646	182	65.0684	16.5614	0.988723	4.74587	OK
CUFF.3.1	-	-	CUFF.3	-	-	chr1:4678663-4679318	655	28.5716	6.24741	3.68137	6.42866	OK
CUFF.4.1	-	-	CUFF.4	-	-	chr1:4761260-4762230	970	77.4291	15.7974	11.6502	15.1379	OK
CUFF.5.1	-	-	CUFF.5	-	-	chr1:4847435-4848060	625	19.4954	4.82191	2.64883	5.12491	OK
CUFF.8.1	-	-	CUFF.8	-	-	chr1:4888195-4888796	601	5.87429	1.0466	0.359296	1.61683	OK
CUFF.9.1	-	-	CUFF.9	-	-	chr1:4869368-4871018	1650	75.3584	13.8941	11.473	14.2867	OK
CUFF.10.1	-	-	CUFF.10	-	-	chr1:4891478-4892160	682	3.06921	0.729105	0.263853	1.16095	OK
CUFF.7.1	-	-	CUFF.7	-	-	chr1:4797743-4836746	2593	40.6376	7.72291	6.98954	8.45629	OK
CUFF.6.1	-	-	CUFF.6	-	-	chr1:4764559-4775805	635	27.0413	5.02898	3.46499	6.60766	OK
CUFF.6.2	-	-	CUFF.6	-	-	chr1:4764559-4775805	872	13.1606	2.44754	1.4741	3.42201	OK
CUFF.6.3	-	-	CUFF.6	-	-	chr1:4764559-4775805	1027	62.4444	11.613	10.0423	13.1751	OK
CUFF.11.1	-	-	CUFF.11	-	-	chr1:4892378-4897842	5464	27.2621	5.37563	4.89389	5.83578	OK
CUFF.12.1	-	-	CUFF.12	-	-	chr1:5042599-5044422	1823	5.00487	0.990774	0.671225	1.30297	OK
CUFF.13.1	-	-	CUFF.13	-	-	chr1:5044488-5045344	856	4.53858	0.862529	0.420438	1.30336	OK
CUFF.14.1	-	-	CUFF.14	-	-	chr1:4876840-4887970	6018	12.1605	2.28483	2.03728	2.53734	OK
CUFF.16.1	-	-	CUFF.16	-	-	chr1:4877147-4880813	3666	6.27373	1.17877	0.952101	1.40745	OK
CUFF.15.1	-	-	CUFF.15	-	-	chr1:5019352-5041234	3490	2.73878	0.559019	0.412487	0.701228	OK
CUFF.17.1	-	-	CUFF.17	-	-	chr1:5073178-5152288	1655	75.9196	14.0173	12.6623	15.3861	OK
CUFF.17.2	-	-	CUFF.17	-	-	chr1:5091150-5152288	969	68.7191	12.6878	10.8345	14.569	OK
CUFF.18.1	-	-	CUFF.18	-	-	chr1:6153877-6157024	1470	4.4132	0.92669	0.589712	1.23559	OK
CUFF.19.1	-	-	CUFF.19	-	-	chr1:4897922-5011598	3641	55.3829	11.0291	10.0694	12.0187	OK
CUFF.19.2	-	-	CUFF.19	-	-	chr1:4897922-5011598	4833	88.2458	17.5735	16.5434	18.6278	OK
CUFF.20.1	-	-	CUFF.20	-	-	chr1:7078310-7078820	510	8.15998	1.45383	0.564541	2.04646	OK
CUFF.21.1	-	-	CUFF.21	-	-	chr1:7167756-7168751	995	13.6063	2.5953	1.70001	3.21916	OK
CUFF.23.1	-	-	CUFF.23	-	-	chr1:8781799-8782278	479	23.3683	4.26751	1.87837	4.28268	OK
CUFF.28.1	-	-	CUFF.28	-	-	chr1:7079033-7163690	4950	25.111	4.63399	4.08902	5.18497	OK
CUFF.28.2	-	-	CUFF.28	-	-	chr1:7079053-7163690	5160	44.886	8.28328	7.62991	8.94017	OK
CUFF.28.3	-	-	CUFF.28	-	-	chr1:7146662-7163690	5123	16.7669	3.09416	2.67664	3.51536	OK
CUFF.29.1	-	-	CUFF.29	-	-	chr1:7144062-7146583	2521	30.8839	5.69933	4.92518	6.38132	OK
CUFF.30.1	-	-	CUFF.30	-	-	chr1:7138024-7139451	1427	20.3858	3.71922	2.77424	4.36313	OK
CUFF.31.1	-	-	CUFF.31	-	-	chr1:7139554-7140318	764	29.3029	5.37708	3.34458	5.74702	OK
CUFF.33.1	-	-	CUFF.33	-	-	chr1:7140417-7141091	674	29.7418	5.55836	3.25721	5.76687	OK
CUFF.35.1	-	-	CUFF.35	-	-	chr1:7141403-7143940	2537	34.8334	6.35936	5.419	6.88014	OK
CUFF.37.1	-	-	CUFF.37	-	-	chr1:7147536-7150639	3103	23.7373	4.37118	3.75785	4.88288	OK
CUFF.22.1	-	-	CUFF.22	-	-	chr1:6202786-6224169	2605	7.20279	1.44458	1.11906	1.76839	OK
CUFF.24.1	-	-	CUFF.24	-	-	chr1:6224311-6228542	369	29.3373	5.72001	2.04818	4.87663	OK
CUFF.25.1	-	-	CUFF.25	-	-	chr1:6230042-6237897	1205	9.68992	1.81984	1.16825	2.47811	OK
CUFF.25.2	-	-	CUFF.25	-	-	chr1:6230042-6237897	1215	31.4702	5.91035	4.90794	6.94122	OK
CUFF.26.1	-	-	CUFF.26	-	-	chr1:6238141-6265652	4278	30.5788	5.62542	5.09533	6.16016	OK
CUFF.26.2	-	-	CUFF.26	-	-	chr1:6238141-6241906	3682	28.7415	5.28742	4.71128	5.84512	OK
CUFF.27.1	-	-	CUFF.27	-	-	chr1:6245301-6245743	442	11.9187	2.54821	0.895667	2.84985	OK
CUFF.32.1	-	-	CUFF.32	-	-	chr1:6247999-6248695	696	14.5249	2.62329	1.39614	3.20596	OK
CUFF.34.1	-	-	CUFF.34	-	-	chr1:6248763-6249405	642	12.4685	2.6975	1.40146	3.25139	OK
CUFF.36.1	-	-	CUFF.36	-	-	chr1:6261560-6262716	1156	9.08114	1.63655	1.02738	2.1793	OK
CUFF.40.1	-	-	CUFF.40	-	-	chr1:9889511-9890544	1033	9.20781	2.25837	1.42843	2.82202	OK
CUFF.38.1	-	-	CUFF.38	-	-	chr1:9657609-9658733	1124	6.90887	1.34632	0.800479	1.82509	OK
CUFF.39.1	-	-	CUFF.39	-	-	chr1:9658882-9680213	2919	7.665	1.54206	1.23892	1.83202	OK
CUFF.42.1	-	-	CUFF.42	-	-	chr1:9932159-9934445	1901	32.833	7.4613	6.53549	8.40577	OK
CUFF.42.2	-	-	CUFF.42	-	-	chr1:9932159-9934445	1895	5.65549	1.28521	0.885709	1.68707	OK
CUFF.44.1	-	-	CUFF.44	-	-	chr1:9772308-9772426	118	3171.96	1130.27	2.74496	9.45487	OK
CUFF.45.1	-	-	CUFF.45	-	-	chr1:9710800-9738524	7712	40.1818	7.43602	6.95337	7.88204	OK
CUFF.41.1	-	-	CUFF.41	-	-	chr1:9788243-9889379	2105	5.56737	1.07608	0.73233	1.42711	OK
CUFF.41.2	-	-	CUFF.41	-	-	chr1:9788250-9889379	2205	11.2364	2.17181	1.73112	2.62344	OK
CUFF.43.1	-	-	CUFF.43	-	-	chr1:9792287-9792708	421	18.6031	3.54568	1.28229	3.5904	OK
CUFF.46.1	-	-	CUFF.46	-	-	chr1:9865407-9865912	505	6.69439	1.3631	0.427598	1.92419	OK
CUFF.47.1	-	-	CUFF.47	-	-	chr1:11289373-11289558	185	98.7778	33.6674	2.91807	7.78152	OK
CUFF.48.1	-	-	CUFF.48	-	-	chr1:11289928-11290093	165	95.1865	31.0915	1.30871	5.01672	OK
CUFF.49.1	-	-	CUFF.49	-	-	chr1:11290262-11291096	834	9.0736	2.95449	1.76927	3.49538	OK
CUFF.50.1	-	-	CUFF.50	-	-	chr1:11291219-11294028	2809	30.3315	5.6993	4.89427	6.21392	OK
CUFF.51.1	-	-	CUFF.51	-	-	chr1:10983598-11287863	5101	44.316	8.45781	7.86074	9.05487	OK
CUFF.58.1	-	-	CUFF.58	-	-	chr1:13613463-13614399	936	2.97214	0.577674	0.230702	0.922808	OK
CUFF.59.1	-	-	CUFF.59	-	-	chr1:13554902-13579970	2793	82.7067	15.6485	14.55	16.747	OK
CUFF.60.1	-	-	CUFF.60	-	-	chr1:13615010-13650761	3479	13.7592	2.5476	2.14366	2.953	OK
CUFF.60.2	-	-	CUFF.60	-	-	chr1:13615010-13650761	3028	16.6894	3.09016	2.61087	3.5741	OK
CUFF.52.1	-	-	CUFF.52	-	-	chr1:10127696-10179757	5192	52.522	9.79021	9.14194	10.4726	OK
CUFF.52.2	-	-	CUFF.52	-	-	chr1:10127696-10179757	5181	9.31811	1.73692	1.44892	2.0256	OK
CUFF.53.1	-	-	CUFF.53	-	-	chr1:10184395-10223148	2078	35.328	6.58521	5.84712	7.31367	OK
CUFF.61.1	-	-	CUFF.61	-	-	chr1:13129212-13362474	8098	33.4132	6.34726	5.90603	6.8024	OK
CUFF.61.2	-	-	CUFF.61	-	-	chr1:13129212-13364126	8204	10.9913	2.08794	1.8274	2.35272	OK
CUFF.62.1	-	-	CUFF.62	-	-	chr1:13157600-13157883	283	18.9767	3.55895	0.635857	3.05211	OK
CUFF.63.1	-	-	CUFF.63	-	-	chr1:13158680-13159147	467	10.8593	1.93476	0.693588	2.31196	OK
CUFF.64.1	-	-	CUFF.64	-	-	chr1:15850959-15851857	898	2.84664	0.557891	0.240464	0.841626	OK
CUFF.65.1	-	-	CUFF.65	-	-	chr1:15851975-15852655	680	3.53956	0.745289	0.317555	1.16437	OK
CUFF.68.1	-	-	CUFF.68	-	-	chr1:15856242-15857283	1041	2.60612	0.464321	0.207432	0.691441	OK
CUFF.66.1	-	-	CUFF.66	-	-	chr1:14159043-14264542	3696	20.8518	3.88673	3.40646	4.37094	OK
CUFF.66.2	-	-	CUFF.66	-	-	chr1:14159043-14294717	3817	20.2037	3.76591	3.26311	4.27477	OK
CUFF.66.3	-	-	CUFF.66	-	-	chr1:14159043-14300436	4493	25.8811	4.82417	4.27231	5.38429	OK
CUFF.66.4	-	-	CUFF.66	-	-	chr1:14159043-14300436	4478	15.1428	2.82258	2.40791	3.23012	OK
CUFF.67.1	-	-	CUFF.67	-	-	chr1:15795578-15833501	1780	14.7035	2.7588	2.17075	3.36919	OK
CUFF.67.2	-	-	CUFF.67	-	-	chr1:15795578-15836608	3788	2.49732	0.468568	0.299945	0.629885	OK
CUFF.67.3	-	-	CUFF.67	-	-	chr1:15795578-15833501	1695	21.4688	4.02816	3.29651	4.75366	OK
CUFF.69.1	-	-	CUFF.69	-	-	chr1:16094715-16123768	4679	27.2476	5.35762	4.8227	5.89185	OK
CUFF.72.1	-	-	CUFF.72	-	-	chr1:16554308-16555404	1096	4.11741	0.753409	0.394046	1.08363	OK
CUFF.73.1	-	-	CUFF.73	-	-	chr1:16556094-16556970	876	3.52526	0.628081	0.246504	0.986014	OK
CUFF.74.1	-	-	CUFF.74	-	-	chr1:16091383-16094467	2404	6.11182	1.1757	0.828425	1.51066	OK
CUFF.74.2	-	-	CUFF.74	-	-	chr1:16091383-16094467	2982	9.83027	1.891	1.4944	2.29314	OK
CUFF.74.3	-	-	CUFF.74	-	-	chr1:16091383-16094504	2304	40.1489	7.72323	6.8556	8.60778	OK
CUFF.75.1	-	-	CUFF.75	-	-	chr1:16629816-16630597	781	5.11298	0.910959	0.414732	1.38244	OK
CUFF.76.1	-	-	CUFF.76	-	-	chr1:16218915-16509306	2788	13.252	2.54267	2.10432	2.99035	OK
CUFF.76.2	-	-	CUFF.76	-	-	chr1:16334452-16509304	2866	32.3525	6.20751	5.53766	6.86831	OK
CUFF.78.1	-	-	CUFF.78	-	-	chr1:16631815-16646947	1986	46.0972	8.673	7.70799	9.65001	OK
CUFF.78.2	-	-	CUFF.78	-	-	chr1:16631815-16647246	2115	13.0859	2.46205	1.90538	3.0262	OK
CUFF.79.1	-	-	CUFF.79	-	-	chr1:16560458-16609381	1317	21.0364	3.86023	2.96562	4.78326	OK
