tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
CUFF.1	-	-	CUFF.1	-	-	chr1:3047809-3048068	-	-	5.35023	0.818164	3.27266	OK
CUFF.2	-	-	CUFF.2	-	-	chr1:3665320-3666255	-	-	0.763581	0.377726	1.13318	OK
CUFF.3	-	-	CUFF.3	-	-	chr1:4678681-4679320	-	-	3.81745	2.04498	3.86889	OK
CUFF.4	-	-	CUFF.4	-	-	chr1:4683462-4683645	-	-	15.957	0.964957	4.63179	OK
CUFF.5	-	-	CUFF.5	-	-	chr1:4480778-4482808	-	-	0.796894	0.504535	1.07866	OK
CUFF.6	-	-	CUFF.6	-	-	chr1:4481149-4486924	-	-	3.79428	3.32862	4.26035	OK
CUFF.7	-	-	CUFF.7	-	-	chr1:4761260-4762230	-	-	14.3997	10.4496	13.5444	OK
CUFF.8	-	-	CUFF.8	-	-	chr1:4764504-4775814	-	-	16.4685	14.4781	18.4573	OK
CUFF.10	-	-	CUFF.10	-	-	chr1:4797926-4836812	-	-	11.9916	10.8536	13.1451	OK
CUFF.9	-	-	CUFF.9	-	-	chr1:4847405-4848059	-	-	3.84668	2.10609	4.05016	OK
CUFF.11	-	-	CUFF.11	-	-	chr1:4869368-4871157	-	-	25.9856	22.0512	25.881	OK
CUFF.12	-	-	CUFF.12	-	-	chr1:5152622-5153274	-	-	1.31359	0.595846	1.84171	OK
CUFF.15	-	-	CUFF.15	-	-	chr1:4876732-4887967	-	-	4.19577	3.85013	4.54579	OK
CUFF.22	-	-	CUFF.22	-	-	chr1:5904864-5905743	-	-	0.774462	0.361612	1.16519	OK
CUFF.23	-	-	CUFF.23	-	-	chr1:5903801-5904808	-	-	0.956832	0.526079	1.33273	OK
CUFF.24	-	-	CUFF.24	-	-	chr1:5905989-5907240	-	-	0.668867	0.367008	0.959866	OK
CUFF.18	-	-	CUFF.18	-	-	chr1:5578983-5596200	-	-	1.03264	0.847802	1.21442	OK
CUFF.13	-	-	CUFF.13	-	-	chr1:4892497-4897753	-	-	1.55616	1.33045	1.78065	OK
CUFF.14	-	-	CUFF.14	-	-	chr1:4897937-5060130	-	-	8.02209	7.38554	8.67398	OK
CUFF.26	-	-	CUFF.26	-	-	chr1:6154263-6155105	-	-	0.927915	0.461392	1.38417	OK
CUFF.29	-	-	CUFF.29	-	-	chr1:6200110-6200974	-	-	0.791826	0.36789	1.18542	OK
CUFF.30	-	-	CUFF.30	-	-	chr1:6201029-6202000	-	-	0.728159	0.363722	1.09117	OK
CUFF.31	-	-	CUFF.31	-	-	chr1:6202570-6204051	-	-	0.549244	0.310011	0.786951	OK
CUFF.16	-	-	CUFF.16	-	-	chr1:3189822-3661605	-	-	4.26916	3.9485	4.60222	OK
CUFF.17	-	-	CUFF.17	-	-	chr1:3189822-3197544	-	-	4.08345	3.74579	4.42268	OK
CUFF.19	-	-	CUFF.19	-	-	chr1:3200546-3200888	-	-	3.26463	0.826139	2.99475	OK
CUFF.20	-	-	CUFF.20	-	-	chr1:3276814-3277411	-	-	2.10782	0.946531	2.78043	OK
CUFF.21	-	-	CUFF.21	-	-	chr1:3277728-3278235	-	-	3.16475	1.39319	3.69196	OK
CUFF.25	-	-	CUFF.25	-	-	chr1:3478457-3478888	-	-	1.48796	0.409715	1.96663	OK
CUFF.27	-	-	CUFF.27	-	-	chr1:3498364-3498938	-	-	0.931414	0.307643	1.47669	OK
CUFF.28	-	-	CUFF.28	-	-	chr1:3631614-3632575	-	-	1.52143	0.882017	2.02129	OK
CUFF.32	-	-	CUFF.32	-	-	chr1:3635462-3636434	-	-	0.818124	0.399683	1.19905	OK
CUFF.33	-	-	CUFF.33	-	-	chr1:3636507-3638345	-	-	2.29999	1.74858	2.76698	OK
CUFF.34	-	-	CUFF.34	-	-	chr1:6370461-6371231	-	-	1.47402	0.733869	2.15574	OK
CUFF.35	-	-	CUFF.35	-	-	chr1:6428126-6429487	-	-	0.848075	0.518992	1.16773	OK
CUFF.36	-	-	CUFF.36	-	-	chr1:6429970-6431001	-	-	0.971608	0.513833	1.40448	OK
CUFF.38	-	-	CUFF.38	-	-	chr1:5073178-5152433	-	-	39.6652	37.2846	42.0895	OK
CUFF.37	-	-	CUFF.37	-	-	chr1:6419223-6428024	-	-	0.661447	0.417958	0.898609	OK
CUFF.40	-	-	CUFF.40	-	-	chr1:7167756-7168751	-	-	5.90435	4.08191	6.56656	OK
CUFF.39	-	-	CUFF.39	-	-	chr1:6773808-6850985	-	-	1.85701	1.60151	2.11338	OK
CUFF.43	-	-	CUFF.43	-	-	chr1:7342654-7345327	-	-	0.662726	0.462443	0.858823	OK
