tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
CUFF.2.1	-	-	CUFF.2	-	-	chr1:4678668-4679319	651	50.9584	11.7074	7.27518	10.9696	OK
CUFF.3.1	-	-	CUFF.3	-	-	chr1:4761260-4762235	975	41.3333	8.68459	6.18583	9.18387	OK
CUFF.4.1	-	-	CUFF.4	-	-	chr1:4847862-4848058	196	88.4422	23.4625	2.64294	7.17369	OK
CUFF.5.1	-	-	CUFF.5	-	-	chr1:4766575-4775799	898	58.1323	11.0783	7.82875	11.1663	OK
CUFF.7.1	-	-	CUFF.7	-	-	chr1:4797976-4836813	2427	26.2212	5.28803	4.66688	5.92017	OK
CUFF.1.1	-	-	CUFF.1	-	-	chr1:3315886-3358859	794	7.97601	1.71145	1.02991	2.36273	OK
CUFF.1.2	-	-	CUFF.1	-	-	chr1:3315886-3358859	615	5.09225	1.09267	0.42849	1.79966	OK
CUFF.6.1	-	-	CUFF.6	-	-	chr1:4876854-4879947	465	15.0409	3.14869	1.35273	3.34204	OK
CUFF.8.1	-	-	CUFF.8	-	-	chr1:4882003-4883602	252	88.5518	16.6974	3.67075	8.3693	OK
CUFF.11.1	-	-	CUFF.11	-	-	chr1:5073205-5152493	1887	105.908	20.0009	18.4381	21.5654	OK
CUFF.11.2	-	-	CUFF.11	-	-	chr1:5073566-5152493	1873	15.0865	2.8491	2.14594	3.56927	OK
CUFF.11.3	-	-	CUFF.11	-	-	chr1:5083546-5152493	1421	23.0468	4.35243	3.34811	5.38088	OK
CUFF.12.1	-	-	CUFF.12	-	-	chr1:6430516-6430902	386	12.3876	2.35985	0.766863	2.77988	OK
CUFF.14.1	-	-	CUFF.14	-	-	chr1:7167755-7168734	979	22.2654	4.38324	2.98579	4.91333	OK
CUFF.9.1	-	-	CUFF.9	-	-	chr1:6238360-6254649	2431	5.88632	1.1523	0.867571	1.43073	OK
