tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
CUFF.1	-	-	CUFF.1	-	-	chr1:4153950-4233332	-	-	0.631194	0.315592	0.946777	OK
CUFF.3	-	-	CUFF.3	-	-	chr1:4683463-4683645	-	-	49.6943	3.70041	8.74642	OK
CUFF.4	-	-	CUFF.4	-	-	chr1:4678444-4679319	-	-	11.1933	7.8018	10.7756	OK
CUFF.5	-	-	CUFF.5	-	-	chr1:4761260-4762230	-	-	12.7686	9.27841	12.0556	OK
CUFF.2	-	-	CUFF.2	-	-	chr1:4283006-4401992	-	-	1.49343	1.01517	1.97196	OK
CUFF.6	-	-	CUFF.6	-	-	chr1:4763897-4764698	-	-	0.806936	0.382178	1.18475	OK
CUFF.7	-	-	CUFF.7	-	-	chr1:4766581-4775767	-	-	25.304	18.2251	22.639	OK
CUFF.8	-	-	CUFF.8	-	-	chr1:4847443-4848060	-	-	7.45409	4.3165	7.19417	OK
CUFF.9	-	-	CUFF.9	-	-	chr1:4876830-4883553	-	-	2.54485	1.99421	3.11038	OK
CUFF.10	-	-	CUFF.10	-	-	chr1:4869368-4870820	-	-	15.2296	12.3124	15.0954	OK
CUFF.11	-	-	CUFF.11	-	-	chr1:4886408-4889016	-	-	14.6589	12.9234	15.1536	OK
CUFF.12	-	-	CUFF.12	-	-	chr1:5073188-5152433	-	-	38.2656	36.1127	40.4549	OK
CUFF.13	-	-	CUFF.13	-	-	chr1:6370454-6371233	-	-	7.64021	4.99073	7.46645	OK
CUFF.15	-	-	CUFF.15	-	-	chr1:4797719-4836812	-	-	37.3567	35.4985	39.2776	OK
CUFF.14	-	-	CUFF.14	-	-	chr1:6906627-6907089	-	-	1.22624	0.331304	1.59026	OK
CUFF.16	-	-	CUFF.16	-	-	chr1:7167643-7169232	-	-	3.99784	3.08244	4.58513	OK
CUFF.18	-	-	CUFF.18	-	-	chr1:7175164-7175854	-	-	0.678923	0.266195	1.02042	OK
CUFF.19	-	-	CUFF.19	-	-	chr1:7172651-7175011	-	-	0.579464	0.389141	0.765311	OK
CUFF.17	-	-	CUFF.17	-	-	chr1:6204735-6224169	-	-	6.40872	3.00086	75.9158	OK
CUFF.20	-	-	CUFF.20	-	-	chr1:6224311-6264418	-	-	11.2824	10.6251	11.9657	OK
CUFF.21	-	-	CUFF.21	-	-	chr1:7079056-7163707	-	-	16.2322	15.1287	16.7972	OK
CUFF.24	-	-	CUFF.24	-	-	chr1:8458519-8458763	-	-	26.6977	5.39482	10.4133	OK
CUFF.22	-	-	CUFF.22	-	-	chr1:4480505-4512899	-	-	7.16607	6.71088	7.63652	OK
CUFF.23	-	-	CUFF.23	-	-	chr1:4481504-4483769	-	-	64.0031	56.821	62.3873	OK
CUFF.25	-	-	CUFF.25	-	-	chr1:8781763-8782307	-	-	22.8565	13.2241	18.345	OK
CUFF.26	-	-	CUFF.26	-	-	chr1:9535479-9537486	-	-	3.63874	2.91329	4.17928	OK
CUFF.27	-	-	CUFF.27	-	-	chr1:9657514-9658708	-	-	0.459193	0.230747	0.666603	OK
CUFF.28	-	-	CUFF.28	-	-	chr1:9658875-9668568	-	-	1.37919	0.920185	1.80903	OK
CUFF.29	-	-	CUFF.29	-	-	chr1:9889515-9891070	-	-	5.71318	4.48851	6.22092	OK
CUFF.30	-	-	CUFF.30	-	-	chr1:9591058-9621245	-	-	10.2817	6.15501	9.90865	OK
CUFF.31	-	-	CUFF.31	-	-	chr1:9772308-9772426	-	-	10904.8	39.9518	59.6683	OK
CUFF.32	-	-	CUFF.32	-	-	chr1:9932179-9934188	-	-	45.6403	39.0153	52.3163	OK
CUFF.34	-	-	CUFF.34	-	-	chr1:9710149-9738544	-	-	4.26908	3.96628	4.57188	OK
CUFF.35	-	-	CUFF.35	-	-	chr1:9788220-9888859	-	-	16.881	15.4164	18.4323	OK
CUFF.36	-	-	CUFF.36	-	-	chr1:9792377-9792562	-	-	80.0001	7.11533	13.4033	OK
CUFF.37	-	-	CUFF.37	-	-	chr1:11294182-11294613	-	-	1.28821	0.355133	1.70464	OK
CUFF.38	-	-	CUFF.38	-	-	chr1:11289789-11290094	-	-	12.9369	3.81401	7.32691	OK
CUFF.39	-	-	CUFF.39	-	-	chr1:11290266-11293732	-	-	13.0515	11.791	13.7076	OK
CUFF.41	-	-	CUFF.41	-	-	chr1:12826186-12832835	-	-	0.567785	0.2184	0.873602	OK
CUFF.40	-	-	CUFF.40	-	-	chr1:12838194-12849545	-	-	0.702323	0.360147	1.01496	OK
CUFF.42	-	-	CUFF.42	-	-	chr1:12871323-12982689	-	-	0.9727	0.730883	1.2125	OK
CUFF.43	-	-	CUFF.43	-	-	chr1:12856707-12869529	-	-	0.873807	0.732543	1.01587	OK
CUFF.44	-	-	CUFF.44	-	-	chr1:13614972-13650612	-	-	3.08037	2.68688	3.48509	OK
CUFF.45	-	-	CUFF.45	-	-	chr1:13554787-13580006	-	-	40.8613	39.1173	42.802	OK
CUFF.46	-	-	CUFF.46	-	-	chr1:13129199-13364149	-	-	6.42992	5.99154	7.22667	OK
CUFF.47	-	-	CUFF.47	-	-	chr1:10983470-11289561	-	-	17.3583	16.6089	18.2002	OK
CUFF.48	-	-	CUFF.48	-	-	chr1:15834093-15834862	-	-	0.532403	0.199041	0.835971	OK
CUFF.49	-	-	CUFF.49	-	-	chr1:15840940-15841673	-	-	0.567963	0.208816	0.918791	OK
CUFF.52	-	-	CUFF.52	-	-	chr1:15795719-15833035	-	-	12.2372	10.7091	13.7844	OK
CUFF.50	-	-	CUFF.50	-	-	chr1:15845485-15846274	-	-	0.559925	0.193995	0.892378	OK
CUFF.51	-	-	CUFF.51	-	-	chr1:15845485-15882808	-	-	0.937586	0.542354	1.35588	OK
CUFF.53	-	-	CUFF.53	-	-	chr1:16094738-16095345	-	-	3.78018	2.0173	3.93373	OK
CUFF.55	-	-	CUFF.55	-	-	chr1:16091384-16094436	-	-	55.6999	50.994	55.0061	OK
CUFF.56	-	-	CUFF.56	-	-	chr1:16655286-16668241	-	-	7.93099	7.01823	8.84728	OK
CUFF.57	-	-	CUFF.57	-	-	chr1:16678467-16699662	-	-	5.32694	3.07069	5.48001	OK
CUFF.59	-	-	CUFF.59	-	-	chr1:16704234-16705434	-	-	0.623821	0.331635	0.892863	OK
CUFF.60	-	-	CUFF.60	-	-	chr1:16705487-16706833	-	-	0.930077	0.568582	1.27362	OK
CUFF.61	-	-	CUFF.61	-	-	chr1:16629517-16647395	-	-	32.5573	29.8875	35.2622	OK
CUFF.58	-	-	CUFF.58	-	-	chr1:16560439-16609397	-	-	21.2836	19.5539	23.0211	OK
CUFF.63	-	-	CUFF.63	-	-	chr1:16759174-16760179	-	-	8.39875	6.03111	8.65068	OK
