tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
CUFF.2	-	-	CUFF.2	-	-	chr1:4678668-4679319	-	-	11.7074	7.27518	10.9696	OK
CUFF.3	-	-	CUFF.3	-	-	chr1:4761260-4762235	-	-	8.68459	6.18583	9.18387	OK
CUFF.4	-	-	CUFF.4	-	-	chr1:4847862-4848058	-	-	23.4625	2.64294	7.17369	OK
CUFF.5	-	-	CUFF.5	-	-	chr1:4766575-4775799	-	-	11.0783	7.82875	11.1663	OK
CUFF.7	-	-	CUFF.7	-	-	chr1:4797976-4836813	-	-	5.28803	4.65039	5.93666	OK
CUFF.1	-	-	CUFF.1	-	-	chr1:3315886-3358859	-	-	2.80412	1.77594	3.84054	OK
CUFF.6	-	-	CUFF.6	-	-	chr1:4876854-4879947	-	-	3.14869	1.35273	3.34204	OK
CUFF.8	-	-	CUFF.8	-	-	chr1:4882003-4883602	-	-	16.6974	3.67075	8.3693	OK
CUFF.11	-	-	CUFF.11	-	-	chr1:5073205-5152493	-	-	27.2024	25.3056	29.1475	OK
CUFF.12	-	-	CUFF.12	-	-	chr1:6430516-6430902	-	-	2.35985	0.766863	2.77988	OK
CUFF.14	-	-	CUFF.14	-	-	chr1:7167755-7168734	-	-	4.38324	2.98579	4.91333	OK
CUFF.9	-	-	CUFF.9	-	-	chr1:6238360-6254649	-	-	1.1523	0.875275	1.43073	OK
CUFF.10	-	-	CUFF.10	-	-	chr1:6240823-6241909	-	-	1.72145	1.0562	2.3509	OK
CUFF.13	-	-	CUFF.13	-	-	chr1:6255653-6264446	-	-	2.21306	0.917383	2.8286	OK
CUFF.16	-	-	CUFF.16	-	-	chr1:8781781-8782278	-	-	8.52613	4.39249	7.66824	OK
CUFF.15	-	-	CUFF.15	-	-	chr1:7079047-7163641	-	-	1.57491	1.34497	1.80052	OK
CUFF.17	-	-	CUFF.17	-	-	chr1:9534599-9537605	-	-	12.0812	10.3863	12.7498	OK
CUFF.18	-	-	CUFF.18	-	-	chr1:9711623-9712531	-	-	0.510535	0.203751	0.815003	OK
CUFF.19	-	-	CUFF.19	-	-	chr1:9713195-9714334	-	-	0.774283	0.422313	1.10451	OK
CUFF.20	-	-	CUFF.20	-	-	chr1:9764031-9764196	-	-	68.2666	4.26074	10.5397	OK
CUFF.22	-	-	CUFF.22	-	-	chr1:9772308-9772426	-	-	4053.36	16.3056	29.4755	OK
CUFF.23	-	-	CUFF.23	-	-	chr1:9889520-9890773	-	-	3.63179	2.62817	4.28185	OK
CUFF.21	-	-	CUFF.21	-	-	chr1:9714495-9738428	-	-	1.91056	1.60423	2.19874	OK
CUFF.24	-	-	CUFF.24	-	-	chr1:9933731-9934162	-	-	1.63948	0.515097	1.97454	OK
CUFF.25	-	-	CUFF.25	-	-	chr1:9932160-9933138	-	-	6.35049	4.80452	7.89608	OK
CUFF.29	-	-	CUFF.29	-	-	chr1:10120079-10126074	-	-	1.64807	0.545471	2.09097	OK
CUFF.30	-	-	CUFF.30	-	-	chr1:10125861-10126818	-	-	1.14769	0.669485	1.57807	OK
CUFF.27	-	-	CUFF.27	-	-	chr1:10102966-10117642	-	-	1.34485	0.707814	1.99228	OK
CUFF.26	-	-	CUFF.26	-	-	chr1:9788198-9889169	-	-	6.47215	5.70923	7.23485	OK
CUFF.31	-	-	CUFF.31	-	-	chr1:10014971-10028207	-	-	17.8226	16.2239	19.4259	OK
CUFF.28	-	-	CUFF.28	-	-	chr1:10056777-10076027	-	-	1.2313	0.525253	1.75084	OK
CUFF.32	-	-	CUFF.32	-	-	chr1:10078146-10102540	-	-	1.59653	0.94609	2.24696	OK
CUFF.33	-	-	CUFF.33	-	-	chr1:10127706-10179973	-	-	2.39701	2.14549	2.65294	OK
CUFF.34	-	-	CUFF.34	-	-	chr1:10184406-10223145	-	-	1.75443	1.37715	2.13093	OK
CUFF.35	-	-	CUFF.35	-	-	chr1:9553413-9621282	-	-	18.6951	15.5915	21.8204	OK
CUFF.36	-	-	CUFF.36	-	-	chr1:9551270-9551860	-	-	1.36444	0.564424	1.88141	OK
CUFF.39	-	-	CUFF.39	-	-	chr1:9609930-9617119	-	-	2.18821	1.74052	2.59578	OK
CUFF.41	-	-	CUFF.41	-	-	chr1:13554808-13579940	-	-	23.6468	22.2526	25.0895	OK
CUFF.42	-	-	CUFF.42	-	-	chr1:15389455-15390116	-	-	0.85193	0.335865	1.28748	OK
CUFF.43	-	-	CUFF.43	-	-	chr1:15436915-15437769	-	-	1.32393	0.693229	1.73307	OK
CUFF.37	-	-	CUFF.37	-	-	chr1:13129199-13143260	-	-	2.59054	2.18277	2.99831	OK
CUFF.40	-	-	CUFF.40	-	-	chr1:13146337-13364344	-	-	2.64712	2.29554	2.99909	OK
CUFF.44	-	-	CUFF.44	-	-	chr1:15527064-15527489	-	-	1.98511	0.696492	2.52478	OK
CUFF.45	-	-	CUFF.45	-	-	chr1:15795601-15803244	-	-	1.80015	0.846062	2.36897	OK
CUFF.38	-	-	CUFF.38	-	-	chr1:13615015-13650615	-	-	5.35013	4.78009	5.92017	OK
CUFF.46	-	-	CUFF.46	-	-	chr1:15809045-15833396	-	-	2.27542	1.31635	3.25464	OK
CUFF.47	-	-	CUFF.47	-	-	chr1:16093990-16094461	-	-	1.5417	0.471352	2.12108	OK
CUFF.48	-	-	CUFF.48	-	-	chr1:16094846-16095308	-	-	1.45858	0.480534	1.84205	OK
CUFF.49	-	-	CUFF.49	-	-	chr1:16122896-16123744	-	-	1.11323	0.567234	1.65807	OK
CUFF.50	-	-	CUFF.50	-	-	chr1:16095395-16122780	-	-	2.64317	2.26369	3.03572	OK
