tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
CUFF.1	-	-	CUFF.1	-	-	chr1:4678679-4679270	-	-	8.07033	4.65727	7.62098	OK
CUFF.2	-	-	CUFF.2	-	-	chr1:4763978-4764155	-	-	17.3197	1.00978	4.84692	OK
CUFF.3	-	-	CUFF.3	-	-	chr1:4761260-4762230	-	-	23.2444	17.5045	22.2584	OK
CUFF.4	-	-	CUFF.4	-	-	chr1:4847791-4848058	-	-	17.0302	4.28417	10.4427	OK
CUFF.6	-	-	CUFF.6	-	-	chr1:4869343-4870820	-	-	21.3864	17.6189	21.4428	OK
CUFF.5	-	-	CUFF.5	-	-	chr1:4876836-4879799	-	-	5.80986	1.81398	4.90841	OK
CUFF.8	-	-	CUFF.8	-	-	chr1:4878232-4878785	-	-	1.16081	0.387841	1.74529	OK
CUFF.11	-	-	CUFF.11	-	-	chr1:4880222-4880742	-	-	1.91167	0.756166	2.40598	OK
CUFF.12	-	-	CUFF.12	-	-	chr1:4881228-4883607	-	-	3.79169	2.59782	4.3297	OK
CUFF.9	-	-	CUFF.9	-	-	chr1:4766478-4775821	-	-	32.2733	29.6785	34.9205	OK
CUFF.13	-	-	CUFF.13	-	-	chr1:4897021-4897842	-	-	0.672895	0.261238	1.04495	OK
CUFF.7	-	-	CUFF.7	-	-	chr1:4797932-4829489	-	-	18.7724	15.6198	22.061	OK
CUFF.10	-	-	CUFF.10	-	-	chr1:4831044-4836812	-	-	8.04782	6.98836	10.1049	OK
CUFF.14	-	-	CUFF.14	-	-	chr1:4899652-5009982	-	-	4.81361	3.96808	5.50196	OK
CUFF.15	-	-	CUFF.15	-	-	chr1:3194474-3661614	-	-	4.95873	4.44446	5.47453	OK
CUFF.16	-	-	CUFF.16	-	-	chr1:3189832-3193564	-	-	2.67536	2.32752	3.01715	OK
CUFF.17	-	-	CUFF.17	-	-	chr1:3193564-3194394	-	-	2.54352	1.50736	3.23006	OK
CUFF.21	-	-	CUFF.21	-	-	chr1:6430716-6430903	-	-	13.3615	0.955776	4.58773	OK
CUFF.24	-	-	CUFF.24	-	-	chr1:5073181-5152495	-	-	38.2345	36.0747	40.5323	OK
CUFF.18	-	-	CUFF.18	-	-	chr1:6204772-6220158	-	-	4.53077	2.09421	4.91057	OK
CUFF.19	-	-	CUFF.19	-	-	chr1:6224044-6228623	-	-	3.91606	1.98589	4.84061	OK
CUFF.22	-	-	CUFF.22	-	-	chr1:6229957-6237892	-	-	5.77806	4.85321	6.70369	OK
CUFF.20	-	-	CUFF.20	-	-	chr1:6238143-6265626	-	-	6.96703	6.35109	7.58343	OK
CUFF.23	-	-	CUFF.23	-	-	chr1:6240727-6241863	-	-	2.25178	1.5104	2.92639	OK
CUFF.25	-	-	CUFF.25	-	-	chr1:7167757-7168756	-	-	12.784	9.4464	12.7383	OK
CUFF.27	-	-	CUFF.27	-	-	chr1:9535503-9537509	-	-	13.8475	11.8144	14.5408	OK
CUFF.26	-	-	CUFF.26	-	-	chr1:7079108-7163568	-	-	5.50429	5.04338	5.96653	OK
CUFF.29	-	-	CUFF.29	-	-	chr1:9772188-9772425	-	-	33.2893	7.08888	14.0269	OK
CUFF.28	-	-	CUFF.28	-	-	chr1:9538144-9566974	-	-	3.59387	3.02656	4.1611	OK
CUFF.31	-	-	CUFF.31	-	-	chr1:9889516-9890853	-	-	4.54002	3.39547	5.13331	OK
CUFF.32	-	-	CUFF.32	-	-	chr1:9933679-9934091	-	-	5.1478	2.08229	4.77192	OK
CUFF.33	-	-	CUFF.33	-	-	chr1:9932170-9933628	-	-	9.61765	8.3279	10.9068	OK
CUFF.34	-	-	CUFF.34	-	-	chr1:9710646-9727130	-	-	3.77641	3.36243	4.17735	OK
CUFF.37	-	-	CUFF.37	-	-	chr1:9735531-9738511	-	-	5.77771	5.00205	6.33353	OK
CUFF.30	-	-	CUFF.30	-	-	chr1:9657546-9668568	-	-	1.99113	1.67795	2.30011	OK
CUFF.35	-	-	CUFF.35	-	-	chr1:9671869-9690283	-	-	2.23018	1.57455	2.88608	OK
CUFF.36	-	-	CUFF.36	-	-	chr1:8350424-8352017	-	-	1.1159	0.740502	1.481	OK
CUFF.40	-	-	CUFF.40	-	-	chr1:8352168-9290506	-	-	8.29433	7.70563	8.90182	OK
CUFF.42	-	-	CUFF.42	-	-	chr1:8781991-8782266	-	-	24.695	7.01922	12.7386	OK
CUFF.38	-	-	CUFF.38	-	-	chr1:9788236-9871686	-	-	11.1158	9.43714	12.8063	OK
CUFF.39	-	-	CUFF.39	-	-	chr1:9792380-9792563	-	-	63.4179	6.25067	15.236	OK
CUFF.41	-	-	CUFF.41	-	-	chr1:9871840-9879096	-	-	8.52913	6.6059	10.5339	OK
CUFF.43	-	-	CUFF.43	-	-	chr1:9881442-9889134	-	-	12.0624	5.6619	9.8872	OK
CUFF.45	-	-	CUFF.45	-	-	chr1:10222868-10223262	-	-	2.36749	0.725808	2.63105	OK
CUFF.44	-	-	CUFF.44	-	-	chr1:10122549-10126941	-	-	2.4369	1.69247	3.15149	OK
CUFF.47	-	-	CUFF.47	-	-	chr1:10014957-10028212	-	-	56.303	53.1724	59.5253	OK
CUFF.48	-	-	CUFF.48	-	-	chr1:11051451-11079955	-	-	1.18582	0.416459	1.59642	OK
CUFF.50	-	-	CUFF.50	-	-	chr1:11174525-11190112	-	-	1.96632	0.952481	2.5773	OK
CUFF.52	-	-	CUFF.52	-	-	chr1:11290770-11291028	-	-	5.21398	0.831303	3.74086	OK
CUFF.53	-	-	CUFF.53	-	-	chr1:11291709-11292898	-	-	1.63537	1.05224	2.19467	OK
CUFF.54	-	-	CUFF.54	-	-	chr1:11404459-11535296	-	-	2.14052	1.01112	2.73597	OK
CUFF.55	-	-	CUFF.55	-	-	chr1:11589710-11589924	-	-	7.8001	0.835188	4.0089	OK
CUFF.51	-	-	CUFF.51	-	-	chr1:11198625-11288159	-	-	1.39449	0.887881	1.9013	OK
CUFF.46	-	-	CUFF.46	-	-	chr1:10028326-10117640	-	-	2.93043	2.28057	3.66193	OK
CUFF.49	-	-	CUFF.49	-	-	chr1:10061116-10061944	-	-	0.887449	0.431715	1.33832	OK
CUFF.57	-	-	CUFF.57	-	-	chr1:11663150-11663299	-	-	48.9005	1.19953	5.75775	OK
CUFF.59	-	-	CUFF.59	-	-	chr1:12857005-12857482	-	-	1.58221	0.599514	2.17324	OK
CUFF.60	-	-	CUFF.60	-	-	chr1:12857540-12858399	-	-	0.63504	0.249681	0.998725	OK
CUFF.63	-	-	CUFF.63	-	-	chr1:12860949-12861618	-	-	1.03084	0.427456	1.54953	OK
CUFF.64	-	-	CUFF.64	-	-	chr1:12861685-12862191	-	-	1.10803	0.353222	1.69546	OK
CUFF.65	-	-	CUFF.65	-	-	chr1:12934084-12980686	-	-	1.12708	0.66138	1.57472	OK
CUFF.67	-	-	CUFF.67	-	-	chr1:12682526-12851236	-	-	9.00433	8.41411	9.60141	OK
CUFF.69	-	-	CUFF.69	-	-	chr1:13554791-13579998	-	-	21.0694	18.9459	21.4696	OK
CUFF.68	-	-	CUFF.68	-	-	chr1:13615022-13650611	-	-	3.43472	2.88114	3.94129	OK
CUFF.56	-	-	CUFF.56	-	-	chr1:10127670-10147185	-	-	8.33091	7.5916	9.08273	OK
CUFF.58	-	-	CUFF.58	-	-	chr1:10148020-10151086	-	-	12.2543	7.70248	11.2825	OK
CUFF.61	-	-	CUFF.61	-	-	chr1:10153781-10179759	-	-	8.55056	7.1928	9.57059	OK
CUFF.62	-	-	CUFF.62	-	-	chr1:10179519-10184570	-	-	9.11525	6.90941	11.2278	OK
CUFF.66	-	-	CUFF.66	-	-	chr1:10189821-10222806	-	-	6.62894	5.72763	7.53024	OK
CUFF.70	-	-	CUFF.70	-	-	chr1:14743505-14744389	-	-	1.68403	0.970481	2.22402	OK
CUFF.71	-	-	CUFF.71	-	-	chr1:14745250-14745827	-	-	1.09008	0.371709	1.67269	OK
CUFF.75	-	-	CUFF.75	-	-	chr1:15275519-15276185	-	-	0.963157	0.429382	1.34182	OK
CUFF.76	-	-	CUFF.76	-	-	chr1:15276248-15276550	-	-	2.92019	0.591822	2.84074	OK
CUFF.73	-	-	CUFF.73	-	-	chr1:14159120-14221627	-	-	10.3468	9.30295	11.3938	OK
CUFF.77	-	-	CUFF.77	-	-	chr1:14242508-14300302	-	-	11.2875	9.80581	12.7866	OK
CUFF.72	-	-	CUFF.72	-	-	chr1:13129274-13132853	-	-	8.06411	7.20114	8.75923	OK
CUFF.74	-	-	CUFF.74	-	-	chr1:13136431-13364121	-	-	8.97646	8.05029	40.0549	OK
CUFF.80	-	-	CUFF.80	-	-	chr1:15702506-15703298	-	-	0.763713	0.361071	1.12835	OK
CUFF.79	-	-	CUFF.79	-	-	chr1:15701775-15702309	-	-	1.52955	0.602461	2.0082	OK
CUFF.81	-	-	CUFF.81	-	-	chr1:15699621-15701619	-	-	0.985026	0.697745	1.27025	OK
CUFF.82	-	-	CUFF.82	-	-	chr1:15703790-15704333	-	-	0.994212	0.329153	1.57994	OK
CUFF.83	-	-	CUFF.83	-	-	chr1:15707937-15708482	-	-	1.48308	0.590302	1.96767	OK
CUFF.84	-	-	CUFF.84	-	-	chr1:15711334-15711650	-	-	2.89902	0.678722	2.60177	OK
CUFF.85	-	-	CUFF.85	-	-	chr1:15834017-15834728	-	-	0.880991	0.402206	1.25689	OK
CUFF.78	-	-	CUFF.78	-	-	chr1:15276965-15424748	-	-	1.44375	1.02729	1.86667	OK
CUFF.87	-	-	CUFF.87	-	-	chr1:15845513-15845913	-	-	1.64503	0.446825	2.14476	OK
CUFF.88	-	-	CUFF.88	-	-	chr1:16094836-16095338	-	-	2.80475	1.21052	3.27553	OK
CUFF.86	-	-	CUFF.86	-	-	chr1:15795719-15833748	-	-	3.22472	2.59284	3.85945	OK
CUFF.89	-	-	CUFF.89	-	-	chr1:16558909-16559739	-	-	0.718822	0.34454	1.07669	OK
CUFF.91	-	-	CUFF.91	-	-	chr1:16091312-16094213	-	-	34.4885	32.4672	36.5905	OK
CUFF.92	-	-	CUFF.92	-	-	chr1:16655291-16668121	-	-	10.4983	8.41511	10.7917	OK
CUFF.93	-	-	CUFF.93	-	-	chr1:16559861-16609368	-	-	13.639	12.4582	14.8289	OK
CUFF.90	-	-	CUFF.90	-	-	chr1:16095415-16123736	-	-	6.51573	5.96484	7.07612	OK
CUFF.94	-	-	CUFF.94	-	-	chr1:16759232-16759477	-	-	33.2283	7.73282	14.1525	OK
CUFF.95	-	-	CUFF.95	-	-	chr1:16759807-16760178	-	-	3.32925	1.05986	3.37227	OK
CUFF.96	-	-	CUFF.96	-	-	chr1:16218905-16509306	-	-	24.6687	23.2397	26.1072	OK
CUFF.97	-	-	CUFF.97	-	-	chr1:16994576-17081841	-	-	1.30733	0.575621	1.78442	OK
CUFF.98	-	-	CUFF.98	-	-	chr1:17387608-17387848	-	-	11.7792	2.23413	5.95767	OK
CUFF.99	-	-	CUFF.99	-	-	chr1:17388070-17388441	-	-	6.24827	2.31241	5.29928	OK
CUFF.100	-	-	CUFF.100	-	-	chr1:17135456-17154300	-	-	9.70112	8.77311	10.3749	OK
CUFF.101	-	-	CUFF.101	-	-	chr1:16631919-16647257	-	-	14.8453	13.6523	16.0733	OK
CUFF.102	-	-	CUFF.102	-	-	chr1:19322256-19322505	-	-	16.3288	3.58896	8.32639	OK
CUFF.103	-	-	CUFF.103	-	-	chr1:19321530-19321946	-	-	1.84015	0.515568	2.32006	OK
CUFF.104	-	-	CUFF.104	-	-	chr1:20962936-20969602	-	-	2.36344	1.17779	3.12115	OK
CUFF.105	-	-	CUFF.105	-	-	chr1:20950433-20957589	-	-	1.64503	0.446825	2.14476	OK
CUFF.107	-	-	CUFF.107	-	-	chr1:20989457-20990355	-	-	0.800502	0.398063	1.19419	OK
CUFF.106	-	-	CUFF.106	-	-	chr1:20988645-20988865	-	-	7.79068	0.974892	3.73709	OK
CUFF.108	-	-	CUFF.108	-	-	chr1:20991377-20994062	-	-	1.38826	0.607738	1.93371	OK
CUFF.109	-	-	CUFF.109	-	-	chr1:20793087-20810334	-	-	17.3282	16.1733	18.4875	OK
CUFF.110	-	-	CUFF.110	-	-	chr1:21388794-21389490	-	-	1.46479	0.719029	1.95165	OK
CUFF.111	-	-	CUFF.111	-	-	chr1:21390262-21390555	-	-	5.64394	1.342	4.27	OK
CUFF.112	-	-	CUFF.112	-	-	chr1:20880664-20929712	-	-	7.10829	6.46965	7.84915	OK
CUFF.113	-	-	CUFF.113	-	-	chr1:21414188-21459576	-	-	3.64354	0.722142	3.24964	OK
CUFF.114	-	-	CUFF.114	-	-	chr1:21477328-21495935	-	-	2.31701	0.746654	2.70662	OK
CUFF.115	-	-	CUFF.115	-	-	chr1:21501983-21503159	-	-	29.6433	23.6483	28.8461	OK
CUFF.118	-	-	CUFF.118	-	-	chr1:22475029-22545466	-	-	3.2615	2.71369	3.81415	OK
CUFF.121	-	-	CUFF.121	-	-	chr1:9591137-9614894	-	-	241.265	235.135	251.422	OK
CUFF.116	-	-	CUFF.116	-	-	chr1:21208663-21273814	-	-	16.5474	13.8786	18.1777	OK
CUFF.117	-	-	CUFF.117	-	-	chr1:21218497-21220216	-	-	1.16942	0.791525	1.53649	OK
CUFF.119	-	-	CUFF.119	-	-	chr1:21217466-21218394	-	-	1.34443	0.770389	1.81041	OK
CUFF.122	-	-	CUFF.122	-	-	chr1:21262493-21262952	-	-	1.87943	0.700903	2.25846	OK
CUFF.124	-	-	CUFF.124	-	-	chr1:23764586-23765227	-	-	1.17206	0.501894	1.67298	OK
CUFF.123	-	-	CUFF.123	-	-	chr1:22276087-22418685	-	-	3.70067	3.2663	4.14029	OK
CUFF.125	-	-	CUFF.125	-	-	chr1:24002885-24012484	-	-	25.5049	15.528	21.6124	OK
CUFF.126	-	-	CUFF.126	-	-	chr1:24264632-24266545	-	-	0.909425	0.616633	1.19589	OK
CUFF.128	-	-	CUFF.128	-	-	chr1:24267096-24267955	-	-	1.00548	0.499363	1.49809	OK
CUFF.129	-	-	CUFF.129	-	-	chr1:24269550-24270352	-	-	0.751365	0.356569	1.11428	OK
CUFF.127	-	-	CUFF.127	-	-	chr1:23373324-23389922	-	-	4.92485	4.49655	5.35322	OK
CUFF.130	-	-	CUFF.130	-	-	chr1:24271441-24271643	-	-	11.6097	1.06176	4.77794	OK
CUFF.131	-	-	CUFF.131	-	-	chr1:22601598-22812911	-	-	14.4979	13.4382	15.5988	OK
CUFF.132	-	-	CUFF.132	-	-	chr1:24289254-24296702	-	-	3.56911	1.11706	3.45274	OK
CUFF.134	-	-	CUFF.134	-	-	chr1:24602078-24602248	-	-	69.3822	4.83623	11.5649	OK
CUFF.133	-	-	CUFF.133	-	-	chr1:24468316-24541129	-	-	2.49831	1.33381	3.09443	OK
CUFF.136	-	-	CUFF.136	-	-	chr1:24582223-24594592	-	-	1.20889	0.373132	1.79103	OK
