tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
CUFF.1.1	-	-	CUFF.1	-	-	chr1:3047809-3048060	251	21.3255	4.52907	0.660365	3.16975	OK
CUFF.2.1	-	-	CUFF.2	-	-	chr1:4482142-4483667	1094	3.33071	0.619485	0.327962	0.947447	OK
CUFF.3.1	-	-	CUFF.3	-	-	chr1:4683469-4683644	175	144.657	26.1956	1.8943	5.87234	OK
CUFF.4.1	-	-	CUFF.4	-	-	chr1:4678680-4679271	591	33.2717	6.51967	3.70207	6.73103	OK
CUFF.5.1	-	-	CUFF.5	-	-	chr1:4761260-4762230	970	83.144	16.0291	11.8589	15.0714	OK
CUFF.6.1	-	-	CUFF.6	-	-	chr1:4847719-4848208	489	24.5006	5.65087	2.77947	5.49116	OK
CUFF.7.1	-	-	CUFF.7	-	-	chr1:4766542-4775819	796	9.15543	1.58456	0.867077	2.33027	OK
CUFF.7.2	-	-	CUFF.7	-	-	chr1:4766542-4775812	944	58.5574	10.1347	8.72702	11.5633	OK
CUFF.8.1	-	-	CUFF.8	-	-	chr1:4873194-4874220	1026	2.51985	0.433226	0.193861	0.646205	OK
CUFF.10.1	-	-	CUFF.10	-	-	chr1:4888375-4889450	1075	3.62854	0.632699	0.339212	0.925125	OK
CUFF.11.1	-	-	CUFF.11	-	-	chr1:4889536-4889966	430	8.1934	1.61355	0.462562	2.08153	OK
CUFF.9.1	-	-	CUFF.9	-	-	chr1:4874642-4875305	663	4.00856	0.69247	0.250002	1.10001	OK
CUFF.13.1	-	-	CUFF.13	-	-	chr1:4892492-4897842	5350	24.5377	4.47291	4.05239	4.83933	OK
CUFF.12.1	-	-	CUFF.12	-	-	chr1:4797915-4836812	2487	70.6257	12.3951	11.4594	13.3597	OK
CUFF.14.1	-	-	CUFF.14	-	-	chr1:4828290-4828921	631	19.4431	3.41343	1.83877	3.94021	OK
CUFF.15.1	-	-	CUFF.15	-	-	chr1:4869272-4873139	3867	44.9161	7.54693	6.78951	8.29829	OK
CUFF.16.1	-	-	CUFF.16	-	-	chr1:5038388-5040659	2271	2.11097	0.393982	0.233556	0.540098	OK
CUFF.17.1	-	-	CUFF.17	-	-	chr1:5040944-5042331	1387	3.44304	0.57882	0.33461	0.812625	OK
CUFF.18.1	-	-	CUFF.18	-	-	chr1:5043425-5044307	882	4.19798	0.760201	0.375854	1.12756	OK
CUFF.19.1	-	-	CUFF.19	-	-	chr1:4876112-4888270	6833	8.40807	1.44909	1.24151	1.66033	OK
CUFF.19.2	-	-	CUFF.19	-	-	chr1:4876859-4888270	9569	8.96989	1.54592	1.3529	1.74146	OK
CUFF.19.3	-	-	CUFF.19	-	-	chr1:4876859-4888270	10064	3.55873	0.61333	0.486532	0.738186	OK
CUFF.21.1	-	-	CUFF.21	-	-	chr1:6153912-6157096	1507	4.14242	0.776931	0.483946	1.05588	OK
CUFF.20.1	-	-	CUFF.20	-	-	chr1:5073196-5152243	1646	101.792	17.2323	15.7846	18.7102	OK
CUFF.20.2	-	-	CUFF.20	-	-	chr1:5083546-5152243	1171	34.7764	5.88728	4.66993	7.12248	OK
CUFF.22.1	-	-	CUFF.22	-	-	chr1:6370905-6371233	328	17.9056	3.265	0.909612	2.93097	OK
CUFF.23.1	-	-	CUFF.23	-	-	chr1:4897926-5011094	3555	63.5196	11.6747	10.7298	12.6279	OK
CUFF.23.2	-	-	CUFF.23	-	-	chr1:4897926-5011094	4747	79.2477	14.5655	13.6664	15.4682	OK
CUFF.24.1	-	-	CUFF.24	-	-	chr1:6430714-6430901	187	65.9429	14.4292	1.06365	4.78641	OK
CUFF.25.1	-	-	CUFF.25	-	-	chr1:7167758-7168765	1007	20.959	3.59957	2.46899	4.11498	OK
CUFF.26.1	-	-	CUFF.26	-	-	chr1:7341180-7342526	1346	2.69515	0.45657	0.246288	0.664976	OK
CUFF.27.1	-	-	CUFF.27	-	-	chr1:6203869-6237796	3370	5.35559	0.941082	0.707603	1.17587	OK
CUFF.27.2	-	-	CUFF.27	-	-	chr1:6203869-6237796	3613	12.9336	2.27269	1.94335	2.60081	OK
CUFF.28.1	-	-	CUFF.28	-	-	chr1:6238145-6241991	3763	51.75	8.8133	8.07835	9.51431	OK
CUFF.28.2	-	-	CUFF.28	-	-	chr1:6238145-6265626	4248	29.1743	4.96854	4.4867	5.45746	OK
CUFF.29.1	-	-	CUFF.29	-	-	chr1:6245409-6246110	701	9.57776	1.66804	0.85122	2.08076	OK
CUFF.30.1	-	-	CUFF.30	-	-	chr1:6246226-6246703	477	12.7489	2.26187	0.903468	2.50191	OK
CUFF.31.1	-	-	CUFF.31	-	-	chr1:6247091-6247958	867	10.5036	1.79659	1.03236	2.37061	OK
CUFF.32.1	-	-	CUFF.32	-	-	chr1:6248068-6250306	2238	11.262	1.96928	1.5405	2.38481	OK
CUFF.33.1	-	-	CUFF.33	-	-	chr1:6259357-6260312	955	5.24188	0.860247	0.451261	1.24965	OK
