tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
CUFF.1	-	-	CUFF.1	-	-	chr1:4678679-4679317	-	-	8.13719	4.86901	7.70481	OK
CUFF.2	-	-	CUFF.2	-	-	chr1:4761260-4762248	-	-	20.4945	15.3407	19.4178	OK
CUFF.3	-	-	CUFF.3	-	-	chr1:4889512-4890709	-	-	0.609658	0.313703	0.884072	OK
CUFF.4	-	-	CUFF.4	-	-	chr1:4891304-4891928	-	-	1.09895	0.437649	1.58648	OK
CUFF.5	-	-	CUFF.5	-	-	chr1:4766529-4775816	-	-	16.7658	14.7821	18.761	OK
CUFF.7	-	-	CUFF.7	-	-	chr1:4894017-4897431	-	-	1.16439	0.929907	1.38986	OK
CUFF.6	-	-	CUFF.6	-	-	chr1:4797926-4836812	-	-	7.65765	6.8068	8.51325	OK
CUFF.8	-	-	CUFF.8	-	-	chr1:5010025-5010574	-	-	1.42261	0.559616	1.86539	OK
CUFF.10	-	-	CUFF.10	-	-	chr1:5158478-5159704	-	-	0.691375	0.389814	0.974536	OK
CUFF.11	-	-	CUFF.11	-	-	chr1:3189863-3661630	-	-	9.89983	9.58741	10.3988	OK
CUFF.9	-	-	CUFF.9	-	-	chr1:4898108-5009897	-	-	2.59833	2.25143	2.94587	OK
CUFF.13	-	-	CUFF.13	-	-	chr1:5588522-5593705	-	-	0.607819	0.384952	0.830686	OK
CUFF.18	-	-	CUFF.18	-	-	chr1:6203184-6204634	-	-	1.29954	0.871072	1.64797	OK
CUFF.19	-	-	CUFF.19	-	-	chr1:6370466-6370723	-	-	7.05923	1.32827	4.11764	OK
CUFF.20	-	-	CUFF.20	-	-	chr1:6370868-6371228	-	-	2.27195	0.568943	2.18095	OK
CUFF.12	-	-	CUFF.12	-	-	chr1:4847451-4848059	-	-	6.27498	3.53718	6.28832	OK
CUFF.14	-	-	CUFF.14	-	-	chr1:4850632-4851596	-	-	0.440544	0.177057	0.672817	OK
CUFF.15	-	-	CUFF.15	-	-	chr1:4869368-4870934	-	-	30.7252	25.8095	29.9513	OK
CUFF.16	-	-	CUFF.16	-	-	chr1:4876850-4880109	-	-	2.60521	1.62231	3.63089	OK
CUFF.17	-	-	CUFF.17	-	-	chr1:4876853-4880109	-	-	1.31094	1.05742	1.56944	OK
CUFF.21	-	-	CUFF.21	-	-	chr1:4880211-4883607	-	-	6.5011	5.42951	7.57675	OK
CUFF.22	-	-	CUFF.22	-	-	chr1:4883987-4889311	-	-	3.4738	3.10974	3.83428	OK
CUFF.23	-	-	CUFF.23	-	-	chr1:6427645-6427894	-	-	4.83599	0.685474	3.29027	OK
CUFF.24	-	-	CUFF.24	-	-	chr1:6427965-6429334	-	-	0.998168	0.623386	1.37145	OK
CUFF.25	-	-	CUFF.25	-	-	chr1:6430712-6430905	-	-	38.3421	4.06809	9.55117	OK
CUFF.26	-	-	CUFF.26	-	-	chr1:5073167-5152358	-	-	65.8817	57.5926	81.1769	OK
CUFF.28	-	-	CUFF.28	-	-	chr1:7167755-7168762	-	-	3.72653	2.54245	4.23741	OK
CUFF.29	-	-	CUFF.29	-	-	chr1:7173573-7173930	-	-	2.0094	0.478104	2.2949	OK
CUFF.30	-	-	CUFF.30	-	-	chr1:7174137-7174802	-	-	0.789078	0.307999	1.18066	OK
