tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
CUFF.1.1	-	-	CUFF.1	-	-	chr1:4153950-4233332	1067	4.04932	0.631194	0.315592	0.946777	OK
CUFF.3.1	-	-	CUFF.3	-	-	chr1:4683463-4683645	182	218.609	49.6943	3.70041	8.74642	OK
CUFF.4.1	-	-	CUFF.4	-	-	chr1:4678444-4679319	875	56.5077	11.1933	7.8018	10.7756	OK
CUFF.5.1	-	-	CUFF.5	-	-	chr1:4761260-4762230	970	68.379	12.7686	9.27841	12.0556	OK
CUFF.2.1	-	-	CUFF.2	-	-	chr1:4283006-4401992	1277	3.4985	0.557376	0.311638	0.791081	OK
CUFF.2.2	-	-	CUFF.2	-	-	chr1:4357767-4401992	890	5.87535	0.936052	0.527811	1.31953	OK
CUFF.6.1	-	-	CUFF.6	-	-	chr1:4763897-4764698	801	4.82548	0.806936	0.382178	1.18475	OK
CUFF.7.1	-	-	CUFF.7	-	-	chr1:4766581-4775767	860	150.041	25.304	18.2251	22.639	OK
CUFF.8.1	-	-	CUFF.8	-	-	chr1:4847443-4848060	617	41.3073	7.45409	4.3165	7.19417	OK
CUFF.9.1	-	-	CUFF.9	-	-	chr1:4876830-4883553	2251	13.7605	2.54485	2.14303	2.93179	OK
CUFF.10.1	-	-	CUFF.10	-	-	chr1:4869368-4870820	1452	95.5174	15.2296	12.3124	15.0954	OK
CUFF.11.1	-	-	CUFF.11	-	-	chr1:4886408-4889016	2608	91.5631	14.6589	12.9234	15.1536	OK
CUFF.12.1	-	-	CUFF.12	-	-	chr1:5073188-5152433	1844	208.089	32.9201	30.8539	34.9727	OK
CUFF.12.2	-	-	CUFF.12	-	-	chr1:5073449-5152433	1930	33.7888	5.34545	4.51431	6.17191	OK
CUFF.13.1	-	-	CUFF.13	-	-	chr1:6370454-6371233	779	43.3253	7.64021	4.99073	7.46645	OK
CUFF.15.1	-	-	CUFF.15	-	-	chr1:4797719-4836812	2683	235.683	37.3567	35.9259	39.222	OK
CUFF.14.1	-	-	CUFF.14	-	-	chr1:6906627-6907089	462	4.23839	1.22624	0.331304	1.59026	OK
CUFF.16.1	-	-	CUFF.16	-	-	chr1:7167643-7169232	1589	24.3474	3.99784	3.08244	4.58513	OK
CUFF.18.1	-	-	CUFF.18	-	-	chr1:7175164-7175854	690	3.86906	0.678923	0.266195	1.02042	OK
CUFF.19.1	-	-	CUFF.19	-	-	chr1:7172651-7175011	2360	3.68377	0.579464	0.389141	0.765311	OK
CUFF.17.1	-	-	CUFF.17	-	-	chr1:6204735-6224169	541	7.55058	1.25671	0.396095	2.03706	OK
CUFF.17.2	-	-	CUFF.17	-	-	chr1:6204735-6224169	656	30.9544	5.15201	2.98658	5.45984	OK
CUFF.20.1	-	-	CUFF.20	-	-	chr1:6224311-6264418	4880	44.9481	7.11029	6.5589	7.66293	OK
CUFF.20.2	-	-	CUFF.20	-	-	chr1:6224311-6241906	5518	26.3743	4.17211	3.77769	4.57118	OK
CUFF.21.1	-	-	CUFF.21	-	-	chr1:7079056-7163707	5174	103.364	16.2322	15.1287	16.7972	OK
CUFF.24.1	-	-	CUFF.24	-	-	chr1:8458519-8458763	244	147.855	26.6977	5.39482	10.4133	OK
CUFF.22.1	-	-	CUFF.22	-	-	chr1:4480505-4512899	6708	43.9167	7.16607	6.71088	7.63198	OK
CUFF.23.1	-	-	CUFF.23	-	-	chr1:4481504-4483769	1834	392.238	64.0031	56.7682	62.2932	OK
CUFF.25.1	-	-	CUFF.25	-	-	chr1:8781763-8782307	544	141.34	22.8565	13.2241	18.345	OK
CUFF.26.1	-	-	CUFF.26	-	-	chr1:9535479-9537486	2007	20.9537	3.63874	2.91329	4.17928	OK
CUFF.27.1	-	-	CUFF.27	-	-	chr1:9657514-9658708	1194	2.72704	0.459193	0.230747	0.666603	OK
