tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
CUFF.1.1	-	-	CUFF.1	-	-	chr1:3190283-3191488	1205	4.74526	0.808851	0.457186	1.14297	OK
CUFF.2.1	-	-	CUFF.2	-	-	chr1:3196033-3196770	737	4.92548	0.870666	0.373751	1.35485	OK
CUFF.3.1	-	-	CUFF.3	-	-	chr1:3205465-3206620	1155	3.84603	0.673291	0.357733	0.983767	OK
CUFF.4.1	-	-	CUFF.4	-	-	chr1:3313044-3313841	797	10.8628	1.96384	1.08005	2.4625	OK
CUFF.5.1	-	-	CUFF.5	-	-	chr1:3661260-3661623	363	21.7888	3.9997	1.32795	3.60444	OK
CUFF.7.1	-	-	CUFF.7	-	-	chr1:4678680-4679271	591	28.7392	5.91226	3.32084	6.11733	OK
CUFF.8.1	-	-	CUFF.8	-	-	chr1:4761260-4762230	970	72.8614	14.1815	10.4715	13.5598	OK
CUFF.9.1	-	-	CUFF.9	-	-	chr1:4847734-4848058	324	35.3543	6.99051	2.23169	5.31356	OK
CUFF.10.1	-	-	CUFF.10	-	-	chr1:4869374-4870753	1379	13.3601	2.347	1.6729	2.99624	OK
CUFF.6.1	-	-	CUFF.6	-	-	chr1:3411785-3661165	730	11.3774	2.26752	1.22634	2.78285	OK
CUFF.11.1	-	-	CUFF.11	-	-	chr1:4797986-4836756	2360	11.4141	2.11971	1.67782	2.50944	OK
CUFF.13.1	-	-	CUFF.13	-	-	chr1:4900381-4914030	784	5.88527	1.08916	0.527018	1.62497	OK
CUFF.12.1	-	-	CUFF.12	-	-	chr1:4764545-4772815	739	39.4178	7.10389	5.57699	8.67532	OK
CUFF.12.2	-	-	CUFF.12	-	-	chr1:4766550-4772815	623	35.5722	6.41083	4.6206	8.14478	LOWDATA
CUFF.14.1	-	-	CUFF.14	-	-	chr1:4774034-4775821	320	141.561	26.2589	9.68396	15.9247	OK
CUFF.15.1	-	-	CUFF.15	-	-	chr1:4882003-4883609	259	109.537	19.6969	4.78589	10.7683	OK
CUFF.16.1	-	-	CUFF.16	-	-	chr1:5904004-5905221	1217	3.12678	0.532974	0.282924	0.763895	OK
CUFF.17.1	-	-	CUFF.17	-	-	chr1:5905838-5906530	692	5.36123	0.947693	0.398056	1.44295	OK
CUFF.18.1	-	-	CUFF.18	-	-	chr1:5906707-5907222	515	7.91609	1.34933	0.534864	1.93888	OK
CUFF.19.1	-	-	CUFF.19	-	-	chr1:6224046-6228446	397	8.64125	1.60684	0.43365	2.08152	OK
CUFF.22.1	-	-	CUFF.22	-	-	chr1:6418373-6418790	417	7.766	1.47083	0.412852	1.98169	OK
CUFF.23.1	-	-	CUFF.23	-	-	chr1:6429051-6430143	1092	2.35133	0.416827	0.189186	0.63062	OK
CUFF.24.1	-	-	CUFF.24	-	-	chr1:6430236-6430901	665	8.59748	1.57271	0.776658	2.07109	OK
CUFF.20.1	-	-	CUFF.20	-	-	chr1:6253104-6255684	320	12.3532	2.72498	0.645597	2.47479	OK
CUFF.21.1	-	-	CUFF.21	-	-	chr1:6262683-6265088	979	5.83924	0.995325	0.562575	1.42808	OK
CUFF.25.1	-	-	CUFF.25	-	-	chr1:6238055-6240214	2076	9.39211	1.69189	1.29368	2.08979	OK
CUFF.26.1	-	-	CUFF.26	-	-	chr1:6240336-6240989	653	5.16125	0.87976	0.316372	1.42367	OK
CUFF.27.1	-	-	CUFF.27	-	-	chr1:7167754-7168761	1007	51.3581	9.12253	6.66754	9.53971	OK
CUFF.28.1	-	-	CUFF.28	-	-	chr1:5073188-5152287	1644	79.4451	14.0839	12.6587	15.511	OK
CUFF.28.2	-	-	CUFF.28	-	-	chr1:5073188-5152287	1698	48.9666	8.68071	7.45626	9.91137	OK
CUFF.28.3	-	-	CUFF.28	-	-	chr1:5083545-5152287	1216	29.7334	5.27107	4.16789	6.40188	OK
CUFF.28.4	-	-	CUFF.28	-	-	chr1:5083547-5152287	1160	28.2243	5.00354	3.84279	6.16962	OK
CUFF.31.1	-	-	CUFF.31	-	-	chr1:9535508-9537500	1992	21.8903	3.99783	3.21502	4.56326	OK
