tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
CUFF.1.1	-	-	CUFF.1	-	-	chr1:3664700-3666712	2012	3.72609	0.658657	0.424664	0.883301	OK
CUFF.2.1	-	-	CUFF.2	-	-	chr1:4678681-4679319	638	20.7873	4.3287	2.35703	4.55336	OK
CUFF.4.1	-	-	CUFF.4	-	-	chr1:4761260-4762230	970	68.8926	13.3333	9.65411	12.8604	OK
CUFF.3.1	-	-	CUFF.3	-	-	chr1:4481047-4483990	2512	10.5739	1.90491	1.45579	2.35375	OK
CUFF.3.2	-	-	CUFF.3	-	-	chr1:4481047-4485611	2097	8.43074	1.51881	1.10827	1.90687	OK
CUFF.3.3	-	-	CUFF.3	-	-	chr1:4481047-4487228	3386	7.16139	1.29014	0.996347	1.58558	OK
CUFF.5.1	-	-	CUFF.5	-	-	chr1:4484326-4485055	729	6.25196	1.08984	0.515702	1.59399	OK
CUFF.6.1	-	-	CUFF.6	-	-	chr1:4764541-4773184	1108	46.7904	8.24343	7.11933	9.40501	OK
CUFF.8.1	-	-	CUFF.8	-	-	chr1:4774119-4775820	234	231.137	43.5173	8.32516	15.3358	OK
CUFF.9.1	-	-	CUFF.9	-	-	chr1:4892492-4897846	5354	8.92885	1.68297	1.44904	1.90865	OK
CUFF.10.1	-	-	CUFF.10	-	-	chr1:4797906-4836813	2497	59.9173	10.8794	9.98079	11.7779	OK
CUFF.15.1	-	-	CUFF.15	-	-	chr1:5592693-5596212	3519	4.68055	0.843339	0.650712	1.02949	OK
CUFF.16.1	-	-	CUFF.16	-	-	chr1:5578541-5592592	1117	2.74125	0.482353	0.21418	0.734331	OK
CUFF.21.1	-	-	CUFF.21	-	-	chr1:5073188-5152303	1714	105.352	18.4002	16.727	20.0814	OK
CUFF.21.2	-	-	CUFF.21	-	-	chr1:5073188-5152303	1660	108.929	19.025	17.2506	20.8221	OK
CUFF.24.1	-	-	CUFF.24	-	-	chr1:5905904-5906654	750	3.4632	0.616788	0.227846	1.00252	OK
CUFF.25.1	-	-	CUFF.25	-	-	chr1:5903875-5905729	1854	3.71567	0.638971	0.405552	0.866406	OK
CUFF.11.1	-	-	CUFF.11	-	-	chr1:4847365-4848233	868	12.1721	2.49166	1.49623	2.87433	OK
CUFF.18.1	-	-	CUFF.18	-	-	chr1:4869368-4871045	1677	135.351	23.8655	20.0334	23.6814	OK
CUFF.22.1	-	-	CUFF.22	-	-	chr1:4876536-4884072	3561	6.18976	1.14827	0.903908	1.40156	OK
CUFF.22.2	-	-	CUFF.22	-	-	chr1:4877689-4884072	5036	3.61374	0.670389	0.508406	0.833221	OK
CUFF.23.1	-	-	CUFF.23	-	-	chr1:4884201-4886244	2043	3.99164	0.703111	0.468407	0.936814	OK
CUFF.26.1	-	-	CUFF.26	-	-	chr1:4888547-4889513	966	2.8853	0.488172	0.212279	0.742978	OK
CUFF.12.1	-	-	CUFF.12	-	-	chr1:4897939-5011244	3692	19.7371	3.82524	3.31396	4.33064	OK
CUFF.12.2	-	-	CUFF.12	-	-	chr1:4897939-5011244	4884	22.4698	4.35488	3.90751	4.8042	OK
CUFF.29.1	-	-	CUFF.29	-	-	chr1:6153897-6157123	1328	3.03327	0.603774	0.332076	0.875472	OK
CUFF.31.1	-	-	CUFF.31	-	-	chr1:6200410-6201378	968	3.40106	0.575436	0.282454	0.88267	OK
