tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
CUFF.1.1	-	-	CUFF.1	-	-	chr1:3047799-3048061	262	18.6104	4.91361	0.773533	2.96521	OK
CUFF.2.1	-	-	CUFF.2	-	-	chr1:4678682-4679319	637	19.1709	3.77139	2.06802	3.97696	OK
CUFF.3.1	-	-	CUFF.3	-	-	chr1:4761242-4762230	988	74.7818	14.2854	10.4957	13.6751	OK
CUFF.4.1	-	-	CUFF.4	-	-	chr1:4847822-4848059	237	166.456	31.731	6.41347	11.8293	OK
CUFF.5.1	-	-	CUFF.5	-	-	chr1:4764539-4775911	761	28.3644	4.95792	3.48527	6.37982	OK
CUFF.5.2	-	-	CUFF.5	-	-	chr1:4766472-4775911	1113	85.6052	14.9632	13.2726	16.6365	OK
CUFF.7.1	-	-	CUFF.7	-	-	chr1:4888227-4889899	1672	3.47383	0.660609	0.42424	0.888884	OK
CUFF.8.1	-	-	CUFF.8	-	-	chr1:4892521-4893199	678	5.78556	1.38205	0.647653	1.7935	OK
CUFF.6.1	-	-	CUFF.6	-	-	chr1:4797932-4836836	2494	72.1524	12.7453	11.7536	13.7467	OK
CUFF.9.1	-	-	CUFF.9	-	-	chr1:4893263-4893962	699	4.58498	0.894462	0.386582	1.40136	OK
CUFF.10.1	-	-	CUFF.10	-	-	chr1:4894063-4897726	3663	5.87311	1.04042	0.829917	1.24488	OK
CUFF.11.1	-	-	CUFF.11	-	-	chr1:5152568-5153247	679	4.74272	0.827539	0.298477	1.34314	OK
CUFF.13.1	-	-	CUFF.13	-	-	chr1:4898112-5011240	4707	26.0493	4.85229	4.41865	5.27845	OK
CUFF.12.1	-	-	CUFF.12	-	-	chr1:3189822-3661594	12268	42.5112	7.57555	7.24277	7.97544	OK
CUFF.14.1	-	-	CUFF.14	-	-	chr1:3649125-3649741	616	9.70191	1.66188	0.767673	2.08368	OK
CUFF.15.1	-	-	CUFF.15	-	-	chr1:4869368-4877363	2098	85.2176	14.7019	12.6223	15.3915	OK
CUFF.16.1	-	-	CUFF.16	-	-	chr1:4877496-4879062	1566	3.59457	0.637869	0.388248	0.884344	OK
CUFF.17.1	-	-	CUFF.17	-	-	chr1:4879186-4887926	6275	10.5264	1.82724	1.58182	2.07579	OK
CUFF.17.2	-	-	CUFF.17	-	-	chr1:4881641-4887926	4938	14.0268	2.43486	2.10541	2.76691	OK
CUFF.18.1	-	-	CUFF.18	-	-	chr1:4880924-4881641	717	4.78401	0.895958	0.376877	1.36618	OK
CUFF.19.1	-	-	CUFF.19	-	-	chr1:5073180-5133921	1425	37.3243	6.48357	4.93035	7.32441	LOWDATA
CUFF.19.2	-	-	CUFF.19	-	-	chr1:5073180-5152514	1933	121.307	21.0721	19.4476	22.7986	OK
CUFF.19.3	-	-	CUFF.19	-	-	chr1:5073180-5152514	1879	31.4344	5.46045	4.53753	6.37653	OK
CUFF.20.1	-	-	CUFF.20	-	-	chr1:6370451-6370724	273	21.0901	3.87926	0.618638	2.96946	OK
CUFF.21.1	-	-	CUFF.21	-	-	chr1:6430720-6430918	198	80.2917	15.0372	1.36475	4.94723	OK
CUFF.22.1	-	-	CUFF.22	-	-	chr1:7167755-7168762	1007	39.8599	6.86318	4.89725	7.2117	OK
CUFF.23.1	-	-	CUFF.23	-	-	chr1:6204736-6230435	1426	39.1918	7.10073	6.19948	8.02928	OK
CUFF.24.1	-	-	CUFF.24	-	-	chr1:6230588-6231613	1025	3.1419	0.525376	0.230676	0.79089	OK
CUFF.25.1	-	-	CUFF.25	-	-	chr1:6232761-6233622	861	3.9089	0.70391	0.313845	1.05923	OK
CUFF.26.1	-	-	CUFF.26	-	-	chr1:6234185-6237824	725	41.9007	7.43764	5.98894	8.88884	OK
CUFF.26.2	-	-	CUFF.26	-	-	chr1:6234185-6235731	668	6.63167	1.17716	0.423274	1.90473	OK
CUFF.28.1	-	-	CUFF.28	-	-	chr1:6238146-6241906	3677	36.3902	6.28093	5.6495	6.89883	OK
CUFF.28.2	-	-	CUFF.28	-	-	chr1:6238146-6266391	5012	37.857	6.5341	5.9952	7.07377	OK
CUFF.29.1	-	-	CUFF.29	-	-	chr1:6248329-6248792	463	16.9426	2.83308	1.09431	3.06406	OK
CUFF.30.1	-	-	CUFF.30	-	-	chr1:6249604-6249973	369	13.9028	2.60373	0.732306	2.65461	OK
CUFF.27.1	-	-	CUFF.27	-	-	chr1:7339523-7340715	1192	3.32369	0.572616	0.311706	0.821771	OK
CUFF.33.1	-	-	CUFF.33	-	-	chr1:8341958-8342757	799	3.64382	0.609304	0.253649	0.930047	OK
CUFF.31.1	-	-	CUFF.31	-	-	chr1:7079060-7163702	5165	67.9026	11.6354	10.9089	12.3752	OK
CUFF.31.2	-	-	CUFF.31	-	-	chr1:7144877-7163702	4878	18.7683	3.21602	2.80231	3.63076	OK
CUFF.31.3	-	-	CUFF.31	-	-	chr1:7148037-7163702	7338	21.7253	3.72272	3.3736	4.08234	OK
CUFF.32.1	-	-	CUFF.32	-	-	chr1:7138273-7139434	1161	20.7862	3.58005	2.53114	4.21856	OK
CUFF.34.1	-	-	CUFF.34	-	-	chr1:7139662-7140159	497	28.5255	5.04405	2.3787	5.09722	OK
CUFF.35.1	-	-	CUFF.35	-	-	chr1:7140712-7141092	380	33.0829	5.61979	2.04443	4.79998	OK
CUFF.36.1	-	-	CUFF.36	-	-	chr1:7141384-7143860	2476	26.1466	4.51983	3.77884	5.06118	OK
CUFF.37.1	-	-	CUFF.37	-	-	chr1:7143990-7144823	833	32.0037	5.56139	3.64944	6.0013	OK
CUFF.38.1	-	-	CUFF.38	-	-	chr1:7146802-7147068	266	30.8044	5.15098	1.01587	3.68252	OK
CUFF.39.1	-	-	CUFF.39	-	-	chr1:7147418-7147963	545	19.2974	3.51155	1.67339	3.84259	OK
CUFF.40.1	-	-	CUFF.40	-	-	chr1:9772308-9772426	118	11954.2	3872.94	11.1638	22.3276	OK
CUFF.41.1	-	-	CUFF.41	-	-	chr1:9933694-9934255	561	35.3074	8.26554	4.57593	7.64662	OK
CUFF.42.1	-	-	CUFF.42	-	-	chr1:9932165-9933644	1088	13.7839	2.92049	2.10452	3.75808	OK
CUFF.42.2	-	-	CUFF.42	-	-	chr1:9932165-9933644	1094	57.9309	12.2742	10.7515	13.7753	OK
CUFF.43.1	-	-	CUFF.43	-	-	chr1:9710728-9738522	7782	48.875	8.46353	7.94742	8.88496	OK
CUFF.46.1	-	-	CUFF.46	-	-	chr1:9657504-9673549	4329	8.94304	1.5986	1.31865	1.88044	OK
