tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
CUFF.1.1	-	-	CUFF.1	-	-	chr1:3200537-3200871	334	28.2213	6.07118	1.90918	5.34571	OK
CUFF.3.1	-	-	CUFF.3	-	-	chr1:3498570-3498834	264	21.3488	4.49287	0.805134	3.86465	OK
CUFF.2.1	-	-	CUFF.2	-	-	chr1:3316815-3358819	496	7.53996	2.11572	0.857079	2.65694	OK
CUFF.4.1	-	-	CUFF.4	-	-	chr1:4481521-4483497	1545	5.3802	1.30289	0.899611	1.67514	OK
CUFF.5.1	-	-	CUFF.5	-	-	chr1:4761260-4762230	970	42.25	10.0123	7.23127	10.4744	OK
CUFF.6.1	-	-	CUFF.6	-	-	chr1:4678681-4679319	638	47.0786	12.2929	7.66266	12.4601	OK
CUFF.7.1	-	-	CUFF.7	-	-	chr1:4847883-4848059	176	104.955	33.5734	2.89848	8.21237	OK
CUFF.9.1	-	-	CUFF.9	-	-	chr1:4797968-4836677	2299	17.452	3.88212	3.3018	4.44243	OK
CUFF.8.1	-	-	CUFF.8	-	-	chr1:4766483-4767728	522	55.2312	11.9905	6.67799	11.0757	OK
CUFF.10.1	-	-	CUFF.10	-	-	chr1:4772645-4775814	485	54.9101	11.9794	6.39858	11.0441	OK
CUFF.11.1	-	-	CUFF.11	-	-	chr1:4900382-4902423	390	8.41528	1.96778	0.545014	2.61607	OK
CUFF.12.1	-	-	CUFF.12	-	-	chr1:4882005-4883610	258	52.203	11.4439	2.80112	6.92041	OK
CUFF.13.1	-	-	CUFF.13	-	-	chr1:6238604-6239032	428	9.95174	2.17813	0.7946	2.88042	OK
CUFF.14.1	-	-	CUFF.14	-	-	chr1:6239099-6240051	952	2.85827	0.601525	0.267927	0.89309	OK
CUFF.15.1	-	-	CUFF.15	-	-	chr1:6224065-6228449	381	11.7021	2.46271	0.669466	3.0126	OK
CUFF.16.1	-	-	CUFF.16	-	-	chr1:6241554-6241849	295	21.2556	4.47326	1.15284	4.17906	OK
CUFF.17.1	-	-	CUFF.17	-	-	chr1:6430716-6430876	160	149.908	36.0551	1.59417	7.17375	OK
CUFF.18.1	-	-	CUFF.18	-	-	chr1:6906627-6906733	106	21480.8	8589.26	4.41153	14.0367	OK
CUFF.19.1	-	-	CUFF.19	-	-	chr1:5073181-5152356	1774	88.089	19.298	17.5425	21.0775	OK
CUFF.19.2	-	-	CUFF.19	-	-	chr1:5073645-5152356	1657	31.4324	6.886	5.67811	8.08701	OK
CUFF.20.1	-	-	CUFF.20	-	-	chr1:7079234-7110670	459	7.80791	2.39008	0.926168	2.87112	OK
CUFF.22.1	-	-	CUFF.22	-	-	chr1:7161085-7161910	825	6.21162	1.30724	0.669872	1.85503	OK
CUFF.23.1	-	-	CUFF.23	-	-	chr1:7162095-7163100	1005	5.50137	1.25425	0.719093	1.73428	OK
CUFF.21.1	-	-	CUFF.21	-	-	chr1:7150954-7160016	735	6.30806	1.51719	0.751897	2.08218	OK
CUFF.24.1	-	-	CUFF.24	-	-	chr1:7168048-7168758	710	30.8545	6.67445	4.19123	7.18497	OK
CUFF.25.1	-	-	CUFF.25	-	-	chr1:8781791-8782282	491	28.5637	6.11145	3.03032	6.49355	OK
CUFF.26.1	-	-	CUFF.26	-	-	chr1:9535511-9537508	1997	44.2264	9.77404	8.21697	10.4522	OK
CUFF.27.1	-	-	CUFF.27	-	-	chr1:9714801-9715437	636	4.81583	1.0135	0.401048	1.53735	OK
CUFF.29.1	-	-	CUFF.29	-	-	chr1:9736196-9738449	2253	5.63704	1.24768	0.905696	1.58497	OK
CUFF.30.1	-	-	CUFF.30	-	-	chr1:9764023-9764184	161	121.457	35.9743	1.84831	7.65728	OK
CUFF.31.1	-	-	CUFF.31	-	-	chr1:9772308-9772426	118	6031.01	2538.46	14.0503	27.0198	OK
CUFF.28.1	-	-	CUFF.28	-	-	chr1:9727081-9736083	605	7.97863	1.77788	0.772929	2.45932	OK
CUFF.32.1	-	-	CUFF.32	-	-	chr1:9889758-9890600	842	12.1068	2.86637	1.7166	3.53418	OK
CUFF.33.1	-	-	CUFF.33	-	-	chr1:9893228-9893557	329	14.2261	3.26606	0.775278	3.48875	OK
CUFF.34.1	-	-	CUFF.34	-	-	chr1:9932107-9933289	797	13.469	3.96155	2.86871	5.05439	OK
CUFF.35.1	-	-	CUFF.35	-	-	chr1:9788255-9889195	1920	5.14646	1.20342	0.779397	1.63186	OK
CUFF.35.2	-	-	CUFF.35	-	-	chr1:9788276-9889195	1888	17.3578	4.05886	3.3743	4.76372	OK
CUFF.37.1	-	-	CUFF.37	-	-	chr1:10014819-10028027	1379	66.7824	14.454	12.9892	15.9188	OK
CUFF.36.1	-	-	CUFF.36	-	-	chr1:10102478-10106109	408	6.91001	2.72666	0.937745	3.12582	OK
CUFF.39.1	-	-	CUFF.39	-	-	chr1:10124244-10126780	833	4.60211	1.09765	0.561371	1.63308	OK
CUFF.40.1	-	-	CUFF.40	-	-	chr1:10127909-10130605	1226	9.12598	2.10252	1.45633	2.70462	OK
CUFF.41.1	-	-	CUFF.41	-	-	chr1:10150917-10163433	476	14.7381	3.24263	1.33964	3.75098	OK
CUFF.42.1	-	-	CUFF.42	-	-	chr1:10174526-10179361	308	10.4018	3.12724	0.690115	3.31255	OK
CUFF.45.1	-	-	CUFF.45	-	-	chr1:13129451-13129854	403	10.1483	2.22857	0.63292	2.84814	OK
CUFF.46.1	-	-	CUFF.46	-	-	chr1:13129941-13130993	1052	5.065	1.11439	0.606147	1.57598	OK
CUFF.38.1	-	-	CUFF.38	-	-	chr1:9541695-9621409	721	7.17159	1.91082	1.01144	2.80091	OK
CUFF.38.2	-	-	CUFF.38	-	-	chr1:9593741-9621409	501	21.2294	5.65641	3.77612	7.55224	OK
CUFF.43.1	-	-	CUFF.43	-	-	chr1:9556886-9557012	126	1021.84	215.048	1.68695	8.09735	OK
CUFF.44.1	-	-	CUFF.44	-	-	chr1:9591118-9591339	221	44.3626	10.4565	1.53886	5.57838	OK
CUFF.47.1	-	-	CUFF.47	-	-	chr1:9612601-9615273	644	4.30341	0.996224	0.396066	1.51825	OK
CUFF.49.1	-	-	CUFF.49	-	-	chr1:9615419-9615773	354	11.1864	2.35418	0.600439	2.88211	OK
CUFF.51.1	-	-	CUFF.51	-	-	chr1:9616130-9617093	963	12.4265	2.69606	1.72163	3.31083	OK
CUFF.54.1	-	-	CUFF.54	-	-	chr1:13554774-13579949	2900	78.597	17.6025	15.7438	18.4703	OK
CUFF.50.1	-	-	CUFF.50	-	-	chr1:13131242-13155130	3330	7.97596	1.77455	1.38767	2.1556	OK
CUFF.50.2	-	-	CUFF.50	-	-	chr1:13131242-13170700	4944	6.58156	1.46431	1.19438	1.7381	OK
CUFF.53.1	-	-	CUFF.53	-	-	chr1:13171303-13364134	1017	11.0305	2.5737	1.67202	3.26044	OK
CUFF.48.1	-	-	CUFF.48	-	-	chr1:13614936-13641517	3302	18.4192	4.10513	3.52757	4.64764	OK
CUFF.52.1	-	-	CUFF.52	-	-	chr1:13641776-13642317	541	5.78828	1.39217	0.471472	2.12163	OK
CUFF.55.1	-	-	CUFF.55	-	-	chr1:13650301-13650933	632	9.75925	2.55589	1.27802	3.16143	OK
CUFF.56.1	-	-	CUFF.56	-	-	chr1:15389908-15390091	183	72.0891	15.1712	1.16151	5.57523	OK
