tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
CUFF.1	-	-	CUFF.1	-	-	chr1:4678680-4679271	-	-	3.53801	1.78755	3.86342	OK
CUFF.2	-	-	CUFF.2	-	-	chr1:4761260-4762429	-	-	14.2954	10.9612	13.9347	OK
CUFF.3	-	-	CUFF.3	-	-	chr1:4889618-4891136	-	-	0.464067	0.246948	0.673495	OK
CUFF.4	-	-	CUFF.4	-	-	chr1:4764468-4775804	-	-	15.4036	13.5679	17.2427	OK
CUFF.5	-	-	CUFF.5	-	-	chr1:4895412-4897122	-	-	0.427721	0.23915	0.597874	OK
CUFF.7	-	-	CUFF.7	-	-	chr1:4898297-4899520	-	-	0.464636	0.22292	0.696624	OK
CUFF.6	-	-	CUFF.6	-	-	chr1:4797929-4836810	-	-	4.28701	3.74519	4.8388	OK
CUFF.9	-	-	CUFF.9	-	-	chr1:3194474-3661611	-	-	4.34165	3.85325	4.83529	OK
CUFF.10	-	-	CUFF.10	-	-	chr1:3189934-3194405	-	-	2.09794	1.82933	2.36288	OK
CUFF.11	-	-	CUFF.11	-	-	chr1:4847793-4848061	-	-	25.8628	6.35799	11.953	OK
CUFF.12	-	-	CUFF.12	-	-	chr1:4869314-4871255	-	-	5.3239	4.31911	6.03973	OK
CUFF.13	-	-	CUFF.13	-	-	chr1:4876858-4879978	-	-	1.23912	0.345058	2.07035	OK
CUFF.14	-	-	CUFF.14	-	-	chr1:4877857-4879978	-	-	0.765324	0.531145	1.00918	OK
CUFF.15	-	-	CUFF.15	-	-	chr1:4880122-4887933	-	-	3.09371	2.79421	3.38996	OK
CUFF.8	-	-	CUFF.8	-	-	chr1:4900016-5009657	-	-	1.67845	1.10994	2.27459	OK
CUFF.16	-	-	CUFF.16	-	-	chr1:5903875-5905720	-	-	0.682059	0.443302	0.905074	OK
CUFF.17	-	-	CUFF.17	-	-	chr1:5905853-5907436	-	-	0.786341	0.495144	1.0764	OK
CUFF.18	-	-	CUFF.18	-	-	chr1:6154037-6157019	-	-	0.799083	0.30734	3.48383	OK
CUFF.20	-	-	CUFF.20	-	-	chr1:6203310-6204680	-	-	0.783867	0.472626	1.0945	OK
CUFF.19	-	-	CUFF.19	-	-	chr1:5073183-5152282	-	-	56.6048	53.5953	59.7865	OK
CUFF.21	-	-	CUFF.21	-	-	chr1:6265711-6266386	-	-	1.1387	0.504871	1.5651	OK
CUFF.22	-	-	CUFF.22	-	-	chr1:6370486-6371232	-	-	1.17763	0.548185	1.69024	OK
CUFF.23	-	-	CUFF.23	-	-	chr1:6430616-6431291	-	-	1.99273	1.00974	2.67582	OK
CUFF.25	-	-	CUFF.25	-	-	chr1:6853162-6855539	-	-	0.468796	0.301075	0.630824	OK
CUFF.24	-	-	CUFF.24	-	-	chr1:6851112-6852832	-	-	0.670917	0.416079	0.91141	OK
