tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
CUFF.1	-	-	CUFF.1	-	-	chr1:3190283-3191488	-	-	0.808851	0.457186	1.14297	OK
CUFF.2	-	-	CUFF.2	-	-	chr1:3196033-3196770	-	-	0.870666	0.373751	1.35485	OK
CUFF.3	-	-	CUFF.3	-	-	chr1:3205465-3206620	-	-	0.673291	0.357733	0.983767	OK
CUFF.4	-	-	CUFF.4	-	-	chr1:3313044-3313841	-	-	1.96384	1.08005	2.4625	OK
CUFF.5	-	-	CUFF.5	-	-	chr1:3661260-3661623	-	-	3.9997	1.32795	3.60444	OK
CUFF.7	-	-	CUFF.7	-	-	chr1:4678680-4679271	-	-	5.91226	3.32084	6.11733	OK
CUFF.8	-	-	CUFF.8	-	-	chr1:4761260-4762230	-	-	14.1815	10.4715	13.5598	OK
CUFF.9	-	-	CUFF.9	-	-	chr1:4847734-4848058	-	-	6.99051	2.23169	5.31356	OK
CUFF.10	-	-	CUFF.10	-	-	chr1:4869374-4870753	-	-	2.347	1.6729	2.99624	OK
CUFF.6	-	-	CUFF.6	-	-	chr1:3411785-3661165	-	-	2.26752	1.22634	2.78285	OK
CUFF.11	-	-	CUFF.11	-	-	chr1:4797986-4836756	-	-	2.11971	1.67782	2.50944	OK
CUFF.13	-	-	CUFF.13	-	-	chr1:4900381-4914030	-	-	1.08916	0.527018	1.62497	OK
CUFF.12	-	-	CUFF.12	-	-	chr1:4764545-4772815	-	-	13.5147	11.4189	15.6127	OK
CUFF.14	-	-	CUFF.14	-	-	chr1:4774034-4775821	-	-	26.2589	9.68396	15.9247	OK
CUFF.15	-	-	CUFF.15	-	-	chr1:4882003-4883609	-	-	19.6969	4.78589	10.7683	OK
CUFF.16	-	-	CUFF.16	-	-	chr1:5904004-5905221	-	-	0.532974	0.282924	0.763895	OK
CUFF.17	-	-	CUFF.17	-	-	chr1:5905838-5906530	-	-	0.947693	0.398056	1.44295	OK
CUFF.18	-	-	CUFF.18	-	-	chr1:5906707-5907222	-	-	1.34933	0.534864	1.93888	OK
CUFF.19	-	-	CUFF.19	-	-	chr1:6224046-6228446	-	-	1.60684	0.43365	2.08152	OK
CUFF.22	-	-	CUFF.22	-	-	chr1:6418373-6418790	-	-	1.47083	0.412852	1.98169	OK
CUFF.23	-	-	CUFF.23	-	-	chr1:6429051-6430143	-	-	0.416827	0.189186	0.63062	OK
CUFF.24	-	-	CUFF.24	-	-	chr1:6430236-6430901	-	-	1.57271	0.776658	2.07109	OK
CUFF.20	-	-	CUFF.20	-	-	chr1:6253104-6255684	-	-	2.72498	0.645597	2.47479	OK
CUFF.21	-	-	CUFF.21	-	-	chr1:6262683-6265088	-	-	0.995325	0.476025	1.51463	OK
CUFF.25	-	-	CUFF.25	-	-	chr1:6238055-6240214	-	-	1.69189	1.29368	2.08979	OK
CUFF.26	-	-	CUFF.26	-	-	chr1:6240336-6240989	-	-	0.87976	0.316372	1.42367	OK
CUFF.27	-	-	CUFF.27	-	-	chr1:7167754-7168761	-	-	9.12253	6.66754	9.53971	OK
CUFF.28	-	-	CUFF.28	-	-	chr1:5073188-5152287	-	-	33.0392	30.799	35.3145	OK
CUFF.31	-	-	CUFF.31	-	-	chr1:9535508-9537500	-	-	3.99783	3.21502	4.56326	OK
CUFF.29	-	-	CUFF.29	-	-	chr1:6477383-6850905	-	-	3.94754	3.56529	4.65396	OK
CUFF.32	-	-	CUFF.32	-	-	chr1:9711546-9713008	-	-	0.807847	0.494575	1.10691	OK
CUFF.33	-	-	CUFF.33	-	-	chr1:9736798-9737450	-	-	1.17552	0.528096	1.6371	OK
CUFF.36	-	-	CUFF.36	-	-	chr1:9737562-9738443	-	-	1.48062	0.820736	1.95413	OK
CUFF.30	-	-	CUFF.30	-	-	chr1:7079085-7137810	-	-	4.81341	2.93642	5.16241	OK
CUFF.35	-	-	CUFF.35	-	-	chr1:7150973-7163670	-	-	3.91883	3.46682	4.35716	OK
CUFF.34	-	-	CUFF.34	-	-	chr1:9714199-9715417	-	-	1.0982	0.67846	1.49827	OK
CUFF.37	-	-	CUFF.37	-	-	chr1:9727089-9736738	-	-	1.1277	0.687537	1.56758	OK
CUFF.38	-	-	CUFF.38	-	-	chr1:9772308-9772426	-	-	4323.03	13.7144	25.9698	OK
CUFF.39	-	-	CUFF.39	-	-	chr1:9932170-9932895	-	-	36.2222	30.278	42.1714	OK
CUFF.40	-	-	CUFF.40	-	-	chr1:9591248-9617209	-	-	4.02095	3.55875	4.48309	OK
CUFF.43	-	-	CUFF.43	-	-	chr1:10014959-10028235	-	-	36.0762	33.7874	38.5013	OK
CUFF.41	-	-	CUFF.41	-	-	chr1:9788214-9874744	-	-	3.29044	2.3698	3.9032	OK
CUFF.42	-	-	CUFF.42	-	-	chr1:9792378-9792564	-	-	41.8652	3.88747	9.25587	OK
CUFF.44	-	-	CUFF.44	-	-	chr1:9875748-9889078	-	-	4.94093	2.97499	5.26719	OK
CUFF.45	-	-	CUFF.45	-	-	chr1:9889526-9890113	-	-	3.5825	1.87703	4.28198	OK
CUFF.46	-	-	CUFF.46	-	-	chr1:10127593-10179755	-	-	2.8639	2.54352	3.16802	OK
CUFF.47	-	-	CUFF.47	-	-	chr1:10184428-10222789	-	-	2.74969	2.10349	3.22671	OK
CUFF.48	-	-	CUFF.48	-	-	chr1:13615019-13650616	-	-	2.15942	1.81576	2.50338	OK
CUFF.49	-	-	CUFF.49	-	-	chr1:13129270-13214793	-	-	3.39595	3.11176	3.68469	OK
CUFF.50	-	-	CUFF.50	-	-	chr1:13554828-13579983	-	-	7.993	7.27797	8.70803	OK
CUFF.51	-	-	CUFF.51	-	-	chr1:15803192-15809822	-	-	2.45302	0.726793	2.63463	OK
CUFF.52	-	-	CUFF.52	-	-	chr1:15821595-15833667	-	-	0.989621	0.263701	2.2786	OK
CUFF.53	-	-	CUFF.53	-	-	chr1:16094740-16095234	-	-	1.32955	0.4182	1.8819	OK
CUFF.54	-	-	CUFF.54	-	-	chr1:16095867-16096345	-	-	2.2191	0.864398	2.66523	OK
CUFF.55	-	-	CUFF.55	-	-	chr1:16121707-16122965	-	-	1.40976	0.90322	1.91592	OK
CUFF.56	-	-	CUFF.56	-	-	chr1:16119299-16121657	-	-	2.1356	0.959996	2.55999	OK
CUFF.57	-	-	CUFF.57	-	-	chr1:16556473-16556964	-	-	1.45436	0.561008	2.03365	OK
CUFF.60	-	-	CUFF.60	-	-	chr1:16559665-16609386	-	-	5.33544	4.69257	5.98006	OK
CUFF.58	-	-	CUFF.58	-	-	chr1:16091413-16092319	-	-	28.0672	20.9023	26.0329	OK
CUFF.59	-	-	CUFF.59	-	-	chr1:16092456-16093043	-	-	15.4064	9.26786	13.7845	OK
CUFF.61	-	-	CUFF.61	-	-	chr1:16093247-16093765	-	-	63.1377	38.0877	46.6625	OK
CUFF.63	-	-	CUFF.63	-	-	chr1:16655272-16668126	-	-	4.36078	3.33286	4.94182	OK
CUFF.62	-	-	CUFF.62	-	-	chr1:16218967-16509296	-	-	5.26511	4.70482	5.8319	OK
CUFF.64	-	-	CUFF.64	-	-	chr1:16759236-16759478	-	-	7.67479	1.28052	4.26841	OK
CUFF.65	-	-	CUFF.65	-	-	chr1:16759807-16760179	-	-	3.81324	1.29582	3.51723	OK
CUFF.66	-	-	CUFF.66	-	-	chr1:17388089-17388438	-	-	4.53365	1.47988	3.94634	OK
CUFF.67	-	-	CUFF.67	-	-	chr1:17135469-17154312	-	-	1.96426	1.65862	2.25288	OK
CUFF.68	-	-	CUFF.68	-	-	chr1:16631812-16647257	-	-	12.9567	11.8682	14.0585	OK
CUFF.69	-	-	CUFF.69	-	-	chr1:16985045-17087913	-	-	3.06899	2.72856	3.41031	OK
CUFF.70	-	-	CUFF.70	-	-	chr1:19321525-19322085	-	-	3.19929	1.53714	3.50467	OK
CUFF.71	-	-	CUFF.71	-	-	chr1:19322257-19322901	-	-	1.42017	0.641587	1.97823	OK
CUFF.72	-	-	CUFF.72	-	-	chr1:20807403-20810294	-	-	2.99296	0.741609	3.07238	OK
CUFF.73	-	-	CUFF.73	-	-	chr1:20793237-20802131	-	-	2.01157	1.47226	2.54083	OK
CUFF.74	-	-	CUFF.74	-	-	chr1:20931673-20932228	-	-	2.13065	0.93059	2.60565	OK
CUFF.75	-	-	CUFF.75	-	-	chr1:21208675-21273815	-	-	12.9234	11.1732	14.6879	OK
CUFF.76	-	-	CUFF.76	-	-	chr1:21501983-21503162	-	-	24.0116	19.0412	23.4218	OK
CUFF.77	-	-	CUFF.77	-	-	chr1:22601737-22602217	-	-	1.97217	0.789063	2.43892	OK
CUFF.78	-	-	CUFF.78	-	-	chr1:22475027-22545469	-	-	7.73201	6.9202	8.56406	OK
CUFF.79	-	-	CUFF.79	-	-	chr1:22603019-22813064	-	-	6.21083	5.29791	7.12396	OK
CUFF.80	-	-	CUFF.80	-	-	chr1:23375674-23382695	-	-	1.0396	0.712383	1.3654	OK
CUFF.81	-	-	CUFF.81	-	-	chr1:23382825-23389988	-	-	1.47254	0.809895	2.13613	OK
CUFF.84	-	-	CUFF.84	-	-	chr1:24018648-24031646	-	-	1.02715	0.608132	1.41897	OK
CUFF.83	-	-	CUFF.83	-	-	chr1:24002798-24003196	-	-	12.1559	5.36375	9.42983	OK
CUFF.85	-	-	CUFF.85	-	-	chr1:24010002-24012477	-	-	29.8906	6.1277	12.2554	OK
CUFF.86	-	-	CUFF.86	-	-	chr1:24033486-24035819	-	-	2.25185	1.37422	3.09199	OK
CUFF.82	-	-	CUFF.82	-	-	chr1:23768736-23852225	-	-	2.22657	1.42223	3.0277	OK
CUFF.87	-	-	CUFF.87	-	-	chr1:24036334-24037022	-	-	1.08004	0.500463	1.65153	OK
CUFF.88	-	-	CUFF.88	-	-	chr1:24036334-24055994	-	-	0.865751	0.285879	2.09236	OK
CUFF.89	-	-	CUFF.89	-	-	chr1:24060026-24064280	-	-	1.41502	0.634423	1.96094	OK
CUFF.90	-	-	CUFF.90	-	-	chr1:24237470-24259385	-	-	1.1825	0.805805	1.5245	OK
CUFF.91	-	-	CUFF.91	-	-	chr1:24602082-24602249	-	-	36.491	1.64943	5.97918	OK
CUFF.92	-	-	CUFF.92	-	-	chr1:20880617-20929617	-	-	34.1237	32.1907	34.738	OK
CUFF.93	-	-	CUFF.93	-	-	chr1:22276047-22422924	-	-	11.8396	11.0904	12.6265	OK
CUFF.94	-	-	CUFF.94	-	-	chr1:23852469-23929197	-	-	17.6848	16.4424	18.9311	OK
CUFF.95	-	-	CUFF.95	-	-	chr1:25865396-25865769	-	-	4.87744	1.7539	4.3386	OK
CUFF.96	-	-	CUFF.96	-	-	chr1:28637173-28637590	-	-	19.8563	9.57816	15.6884	OK
CUFF.97	-	-	CUFF.97	-	-	chr1:29541950-29542304	-	-	7.07455	2.52889	5.73864	OK
CUFF.98	-	-	CUFF.98	-	-	chr1:29794080-29794408	-	-	3.05127	0.839801	3.04428	OK
CUFF.99	-	-	CUFF.99	-	-	chr1:30826747-30826932	-	-	14.32	0.93059	4.46683	OK
CUFF.100	-	-	CUFF.100	-	-	chr1:31672163-31673529	-	-	2.35824	1.68882	2.94914	OK
CUFF.101	-	-	CUFF.101	-	-	chr1:30859258-30878156	-	-	2.88611	2.55912	3.22022	OK
