tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
CUFF.1.1	-	-	CUFF.1	-	-	chr1:4132707-4196881	961	3.52426	0.589583	0.271939	0.883802	OK
CUFF.2.1	-	-	CUFF.2	-	-	chr1:4342602-4402570	611	12.8119	2.37884	1.53473	3.22294	OK
CUFF.3.1	-	-	CUFF.3	-	-	chr1:4683462-4683644	182	135.939	32.9752	2.8718	8.4359	OK
CUFF.4.1	-	-	CUFF.4	-	-	chr1:4678674-4679318	644	77.5075	16.3087	10.3478	14.8116	OK
CUFF.5.1	-	-	CUFF.5	-	-	chr1:4754797-4775769	781	23.6786	4.26684	2.96128	5.53868	OK
CUFF.5.2	-	-	CUFF.5	-	-	chr1:4766459-4775769	984	144.74	26.0819	23.6813	28.4667	OK
CUFF.6.1	-	-	CUFF.6	-	-	chr1:4761260-4762230	970	71.9248	13.8698	10.2378	13.3024	OK
CUFF.11.1	-	-	CUFF.11	-	-	chr1:4797932-4836823	2481	244.802	41.5314	39.9139	43.6563	OK
CUFF.8.1	-	-	CUFF.8	-	-	chr1:4847292-4848059	767	23.2974	4.5769	2.85354	5.11082	OK
CUFF.9.1	-	-	CUFF.9	-	-	chr1:4857606-4879683	323	62.9651	13.2815	4.65222	8.69763	OK
CUFF.10.1	-	-	CUFF.10	-	-	chr1:4869368-4870827	1459	91.0239	15.4784	12.6054	15.4266	OK
CUFF.12.1	-	-	CUFF.12	-	-	chr1:4880070-4883611	2194	18.0374	3.21242	2.5907	3.78183	OK
CUFF.13.1	-	-	CUFF.13	-	-	chr1:4883909-4885209	1186	2.82605	0.457018	0.220349	0.688589	OK
CUFF.14.1	-	-	CUFF.14	-	-	chr1:4886435-4889975	3540	72.9704	12.3609	11.1934	12.9928	OK
CUFF.15.1	-	-	CUFF.15	-	-	chr1:6370463-6371233	770	45.5363	8.27809	5.47273	8.18788	OK
CUFF.16.1	-	-	CUFF.16	-	-	chr1:5073215-5152435	1819	233.671	39.4281	37.1519	41.7509	OK
CUFF.19.1	-	-	CUFF.19	-	-	chr1:6906626-6906742	116	3076.9	892.221	3.0977	9.85632	OK
CUFF.17.1	-	-	CUFF.17	-	-	chr1:4481029-4487599	4519	126.438	22.003	20.9854	23.1638	OK
CUFF.17.2	-	-	CUFF.17	-	-	chr1:4481029-4487599	3494	35.7043	6.21336	5.49926	6.93084	OK
CUFF.17.3	-	-	CUFF.17	-	-	chr1:4481029-4487599	3470	36.7187	6.38988	5.619	7.1605	OK
CUFF.18.1	-	-	CUFF.18	-	-	chr1:4484263-4484968	705	32.6503	5.53151	3.38251	5.8383	OK
CUFF.20.1	-	-	CUFF.20	-	-	chr1:7172225-7173018	793	3.49027	0.645067	0.247163	0.988651	OK
CUFF.21.1	-	-	CUFF.21	-	-	chr1:7173317-7174473	1156	3.64174	0.605755	0.310842	0.876009	OK
CUFF.23.1	-	-	CUFF.23	-	-	chr1:7167757-7168802	877	7.76467	1.34284	0.661183	1.98355	OK
CUFF.24.1	-	-	CUFF.24	-	-	chr1:7167757-7168802	1045	34.3146	5.93445	4.90177	6.99168	OK
CUFF.27.1	-	-	CUFF.27	-	-	chr1:7697224-7697504	280	18.6908	3.95264	0.816667	3.38333	OK
CUFF.28.1	-	-	CUFF.28	-	-	chr1:7078331-7163706	5898	85.8556	14.3926	13.4865	14.9875	OK
CUFF.22.1	-	-	CUFF.22	-	-	chr1:6204337-6224170	1055	15.2599	2.74198	2.10343	3.38052	OK
CUFF.25.1	-	-	CUFF.25	-	-	chr1:6224311-6230418	753	59.9571	10.3002	8.74657	11.9115	OK
CUFF.26.1	-	-	CUFF.26	-	-	chr1:6234185-6237824	1244	21.372	3.81069	2.78349	4.3328	OK
CUFF.29.1	-	-	CUFF.29	-	-	chr1:6238143-6241899	3673	31.1482	5.22832	4.66031	5.78982	OK
CUFF.29.2	-	-	CUFF.29	-	-	chr1:6238143-6261029	2952	35.0452	5.88245	5.14566	6.61744	OK
CUFF.29.3	-	-	CUFF.29	-	-	chr1:6238143-6266366	4941	21.9446	3.68347	3.29024	4.08017	OK
CUFF.30.1	-	-	CUFF.30	-	-	chr1:8458518-8458754	236	139.581	26.1636	5.39831	10.7966	OK
CUFF.31.1	-	-	CUFF.31	-	-	chr1:8781750-8782295	545	145.256	24.6219	14.685	20.559	OK
CUFF.32.1	-	-	CUFF.32	-	-	chr1:9535503-9537490	1987	18.4993	3.40865	2.71263	3.92921	OK
CUFF.33.1	-	-	CUFF.33	-	-	chr1:9662316-9666394	803	5.23241	0.951935	0.447489	1.42383	OK
CUFF.34.1	-	-	CUFF.34	-	-	chr1:9668555-9680208	652	5.84327	1.04995	0.489975	1.60992	OK
CUFF.36.1	-	-	CUFF.36	-	-	chr1:9772189-9772426	237	224.775	70.9686	16.5401	24.948	OK
CUFF.35.1	-	-	CUFF.35	-	-	chr1:9591026-9621265	897	14.9815	2.69367	1.88191	3.48842	OK
CUFF.35.2	-	-	CUFF.35	-	-	chr1:9591026-9621265	857	6.20105	1.11495	0.486336	1.75081	OK
CUFF.35.3	-	-	CUFF.35	-	-	chr1:9591026-9621265	678	31.1808	5.60629	4.30968	6.96179	OK
CUFF.37.1	-	-	CUFF.37	-	-	chr1:9932169-9934202	346	235.254	47.8371	41.1245	54.5652	OK
CUFF.37.2	-	-	CUFF.37	-	-	chr1:9932169-9934202	340	32.2592	6.55967	3.74378	9.56744	OK
CUFF.38.1	-	-	CUFF.38	-	-	chr1:9788233-9888853	1589	93.8067	16.5697	15.1734	17.966	OK
CUFF.39.1	-	-	CUFF.39	-	-	chr1:9792377-9792564	187	444.264	77.9333	8.90909	17.1194	OK
CUFF.40.1	-	-	CUFF.40	-	-	chr1:9889514-9891032	1518	29.6326	5.73577	4.49759	6.47738	OK
CUFF.41.1	-	-	CUFF.41	-	-	chr1:9710497-9738504	7908	3.56278	0.611097	0.469526	0.752933	OK
CUFF.41.2	-	-	CUFF.41	-	-	chr1:9710497-9738504	7995	21.4731	3.68312	3.3881	3.98206	OK
CUFF.42.1	-	-	CUFF.42	-	-	chr1:11294115-11295172	1057	2.24604	0.449702	0.18543	0.710817	OK
CUFF.45.1	-	-	CUFF.45	-	-	chr1:12884509-12981071	2045	1.31535	0.234938	0.0878283	0.386445	OK
CUFF.45.2	-	-	CUFF.45	-	-	chr1:12884509-12982814	2224	2.35265	0.420211	0.208304	0.640935	OK
CUFF.45.3	-	-	CUFF.45	-	-	chr1:12929168-12981041	1627	1.57683	0.28164	0.0906344	0.475831	OK
CUFF.45.4	-	-	CUFF.45	-	-	chr1:12979318-12982814	1932	2.30049	0.410894	0.187021	0.617168	OK
CUFF.46.1	-	-	CUFF.46	-	-	chr1:13397276-13397386	110	4419.49	1429.41	1.78182	6.8303	OK
CUFF.43.1	-	-	CUFF.43	-	-	chr1:12856724-12862347	5623	4.92213	0.823021	0.679708	0.964373	OK
CUFF.44.1	-	-	CUFF.44	-	-	chr1:12862408-12871469	404	11.9638	2.38121	0.808581	2.74918	OK
CUFF.47.1	-	-	CUFF.47	-	-	chr1:12870500-12871243	743	3.44099	0.585751	0.21983	0.923284	OK
CUFF.48.1	-	-	CUFF.48	-	-	chr1:13167169-13364150	1317	32.0151	5.88854	5.02258	6.75451	OK
CUFF.49.1	-	-	CUFF.49	-	-	chr1:13615009-13650620	2888	19.2326	3.30572	2.79386	3.73269	OK
CUFF.51.1	-	-	CUFF.51	-	-	chr1:13129242-13165422	6857	20.3669	3.51104	3.16791	3.85829	OK
CUFF.51.2	-	-	CUFF.51	-	-	chr1:13129242-13165422	6166	13.928	2.40104	2.10288	2.69824	OK
CUFF.50.1	-	-	CUFF.50	-	-	chr1:10983556-11139968	2398	99.6663	17.4097	16.2101	18.6166	OK
CUFF.52.1	-	-	CUFF.52	-	-	chr1:11143621-11290094	4970	81.1684	15.2329	14.4535	16.0579	OK
CUFF.53.1	-	-	CUFF.53	-	-	chr1:11290266-11293764	3498	64.3139	13.204	11.9535	13.8959	OK
CUFF.55.1	-	-	CUFF.55	-	-	chr1:13554819-13579986	2892	259.361	44.6367	42.8203	46.7307	OK
CUFF.62.1	-	-	CUFF.62	-	-	chr1:15835114-15835766	652	4.32835	0.699964	0.250511	1.10225	OK
CUFF.63.1	-	-	CUFF.63	-	-	chr1:15848769-15882765	909	4.32644	0.767365	0.406252	1.17362	OK
CUFF.65.1	-	-	CUFF.65	-	-	chr1:15795089-15833176	1859	12.1743	2.09512	1.58094	2.61538	OK
CUFF.65.2	-	-	CUFF.65	-	-	chr1:15795089-15833176	2231	9.81634	1.68934	1.30942	2.07591	OK
CUFF.65.3	-	-	CUFF.65	-	-	chr1:15795089-15833176	1948	24.0533	4.13944	3.48407	4.79986	OK
CUFF.64.1	-	-	CUFF.64	-	-	chr1:15845377-15845999	622	13.1831	2.24413	1.49609	3.06698	OK
CUFF.56.1	-	-	CUFF.56	-	-	chr1:10127656-10179760	5224	21.301	3.62061	3.22665	4.01455	OK
CUFF.56.2	-	-	CUFF.56	-	-	chr1:10127656-10179760	5235	76.7925	13.0527	12.2991	13.8092	OK
CUFF.57.1	-	-	CUFF.57	-	-	chr1:10184335-10223154	2144	72.0053	12.239	11.2242	13.2589	OK
CUFF.66.1	-	-	CUFF.66	-	-	chr1:16094711-16095337	626	25.6686	4.81816	2.71353	4.90522	OK
CUFF.54.1	-	-	CUFF.54	-	-	chr1:10014995-10028345	1521	339.296	58.1823	50.3638	56.2271	OK
CUFF.60.1	-	-	CUFF.60	-	-	chr1:10059493-10060266	773	4.64021	0.778189	0.338077	1.14101	OK
CUFF.61.1	-	-	CUFF.61	-	-	chr1:10061114-10062616	1502	2.45464	0.396955	0.217488	0.565468	OK
CUFF.70.1	-	-	CUFF.70	-	-	chr1:16655290-16668169	1526	9.36945	1.61199	1.09645	2.11981	OK
CUFF.70.2	-	-	CUFF.70	-	-	chr1:16655290-16668169	1523	47.8819	8.23796	7.22839	9.25527	OK
CUFF.68.1	-	-	CUFF.68	-	-	chr1:16091457-16092912	1455	396.997	71.7539	60.6859	67.3315	OK
CUFF.69.1	-	-	CUFF.69	-	-	chr1:16093020-16093452	432	709.709	140.234	76.3735	90.3627	OK
CUFF.71.1	-	-	CUFF.71	-	-	chr1:16093557-16094450	893	231.947	45.825	34.4591	40.7145	OK
CUFF.72.1	-	-	CUFF.72	-	-	chr1:16560447-16609368	1315	44.3072	7.48542	6.27488	8.70387	OK
CUFF.72.2	-	-	CUFF.72	-	-	chr1:16560447-16609368	1394	105.764	17.8682	16.1889	19.5672	OK
