tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
CUFF.1	-	-	CUFF.1	-	-	chr1:3190298-3190720	-	-	1.91468	0.876639	2.92213	OK
CUFF.2	-	-	CUFF.2	-	-	chr1:3190963-3191408	-	-	1.19136	0.46185	1.8474	OK
CUFF.3	-	-	CUFF.3	-	-	chr1:3191545-3192028	-	-	1.18048	0.510617	1.78716	OK
CUFF.4	-	-	CUFF.4	-	-	chr1:3195124-3196094	-	-	0.897665	0.508511	1.27128	OK
CUFF.5	-	-	CUFF.5	-	-	chr1:3204065-3205009	-	-	1.02272	0.609603	1.39338	OK
CUFF.6	-	-	CUFF.6	-	-	chr1:3205245-3205992	-	-	0.952935	0.495237	1.37566	OK
CUFF.7	-	-	CUFF.7	-	-	chr1:4678059-4678166	-	-	87.8076	3.4574	11.5247	OK
CUFF.8	-	-	CUFF.8	-	-	chr1:4683465-4683612	-	-	14.8607	3.07586	9.5072	OK
CUFF.9	-	-	CUFF.9	-	-	chr1:4678681-4679320	-	-	16.3192	12.222	17.4325	OK
CUFF.11	-	-	CUFF.11	-	-	chr1:4761260-4762230	-	-	25.8717	21.5693	26.7816	OK
CUFF.12	-	-	CUFF.12	-	-	chr1:4774038-4775820	-	-	18.32	10.4393	17.2248	OK
CUFF.13	-	-	CUFF.13	-	-	chr1:4766457-4772816	-	-	12.2688	9.28724	13.8735	OK
CUFF.15	-	-	CUFF.15	-	-	chr1:4835546-4836633	-	-	1.20771	0.756295	1.62603	OK
CUFF.16	-	-	CUFF.16	-	-	chr1:4847565-4848059	-	-	4.69443	2.82906	5.82455	OK
CUFF.17	-	-	CUFF.17	-	-	chr1:4869578-4870769	-	-	3.63881	2.79553	4.45214	OK
CUFF.14	-	-	CUFF.14	-	-	chr1:4818679-4835262	-	-	3.16918	1.85669	30.7264	OK
CUFF.19	-	-	CUFF.19	-	-	chr1:4881988-4883631	-	-	16.7755	9.02636	16.1086	OK
CUFF.18	-	-	CUFF.18	-	-	chr1:4876910-4879677	-	-	34.4861	22.8301	46.1074	OK
CUFF.20	-	-	CUFF.20	-	-	chr1:4900399-5009535	-	-	2.32114	1.60092	3.02876	OK
CUFF.21	-	-	CUFF.21	-	-	chr1:5073199-5152392	-	-	39.8453	37.1918	42.5914	OK
CUFF.22	-	-	CUFF.22	-	-	chr1:6204778-6218066	-	-	1.99516	0.671645	3.22389	OK
CUFF.23	-	-	CUFF.23	-	-	chr1:6230040-6230452	-	-	1.4491	0.598611	2.29468	OK
CUFF.10	-	-	CUFF.10	-	-	chr1:3206815-3661537	-	-	2.7187	2.17573	3.25984	OK
CUFF.24	-	-	CUFF.24	-	-	chr1:6264637-6265545	-	-	0.915673	0.497964	1.31281	OK
CUFF.27	-	-	CUFF.27	-	-	chr1:6419889-6420239	-	-	1.80845	0.704651	2.70116	OK
CUFF.25	-	-	CUFF.25	-	-	chr1:6255652-6264581	-	-	1.34375	0.729276	1.92264	OK
CUFF.26	-	-	CUFF.26	-	-	chr1:6238152-6254654	-	-	1.65352	1.33217	1.99023	OK
CUFF.28	-	-	CUFF.28	-	-	chr1:6428485-6429089	-	-	1.10097	0.544432	1.6333	OK
CUFF.29	-	-	CUFF.29	-	-	chr1:6430238-6431261	-	-	0.846121	0.482166	1.20541	OK
CUFF.31	-	-	CUFF.31	-	-	chr1:6848993-6850780	-	-	4.89741	4.09436	5.6815	OK
CUFF.33	-	-	CUFF.33	-	-	chr1:7079055-7079288	-	-	3.70808	1.05849	4.7632	OK
CUFF.32	-	-	CUFF.32	-	-	chr1:6807682-6848872	-	-	6.18652	5.3507	7.04179	OK
CUFF.30	-	-	CUFF.30	-	-	chr1:6761023-6800754	-	-	7.04203	5.78852	8.19014	OK
CUFF.35	-	-	CUFF.35	-	-	chr1:7110293-7163662	-	-	4.97034	4.52497	5.41139	OK
CUFF.36	-	-	CUFF.36	-	-	chr1:9535537-9537508	-	-	4.87714	4.10838	5.63077	OK
CUFF.37	-	-	CUFF.37	-	-	chr1:9543835-9566732	-	-	1.64965	1.17351	2.12501	OK
CUFF.38	-	-	CUFF.38	-	-	chr1:9711094-9711714	-	-	0.948529	0.397787	1.45855	OK
CUFF.39	-	-	CUFF.39	-	-	chr1:9713300-9715435	-	-	1.5149	1.17442	1.86752	OK
CUFF.40	-	-	CUFF.40	-	-	chr1:9591226-9617212	-	-	12.1001	11.1462	13.063	OK
CUFF.41	-	-	CUFF.41	-	-	chr1:9772308-9772426	-	-	116.322	13.9338	27.1709	OK
CUFF.44	-	-	CUFF.44	-	-	chr1:9890157-9890596	-	-	1.69743	0.74906	2.52808	OK
CUFF.45	-	-	CUFF.45	-	-	chr1:9889520-9890092	-	-	2.61246	1.50909	3.59306	OK
CUFF.42	-	-	CUFF.42	-	-	chr1:9727087-9738424	-	-	1.82364	1.49599	2.13912	OK
CUFF.43	-	-	CUFF.43	-	-	chr1:9788222-9828900	-	-	3.2145	1.17863	4.27253	OK
CUFF.46	-	-	CUFF.46	-	-	chr1:9792374-9792564	-	-	34.7022	13.4131	23.5811	OK
CUFF.48	-	-	CUFF.48	-	-	chr1:9932168-9933036	-	-	14.1217	11.5951	16.6631	OK
CUFF.47	-	-	CUFF.47	-	-	chr1:9841640-9888801	-	-	3.72377	2.96547	4.49155	OK
CUFF.49	-	-	CUFF.49	-	-	chr1:10086022-10102592	-	-	2.21619	0.811276	3.10989	OK
CUFF.50	-	-	CUFF.50	-	-	chr1:10122539-10126487	-	-	0.784645	0.368416	1.15788	OK
CUFF.51	-	-	CUFF.51	-	-	chr1:10222483-10223125	-	-	1.0617	0.512207	1.60065	OK
CUFF.52	-	-	CUFF.52	-	-	chr1:10014823-10028229	-	-	44.7543	42.245	47.5213	OK
CUFF.55	-	-	CUFF.55	-	-	chr1:11291892-11293136	-	-	0.754529	0.462593	1.05735	OK
CUFF.34	-	-	CUFF.34	-	-	chr1:6477387-6759019	-	-	13.2628	6.50937	12.5234	OK
CUFF.53	-	-	CUFF.53	-	-	chr1:10127694-10179757	-	-	3.82216	3.4821	4.16006	OK
CUFF.54	-	-	CUFF.54	-	-	chr1:10184179-10206640	-	-	3.26728	2.66339	3.87152	OK
CUFF.56	-	-	CUFF.56	-	-	chr1:13579679-13579983	-	-	8.91513	4.59723	9.46489	OK
CUFF.57	-	-	CUFF.57	-	-	chr1:13616100-13616685	-	-	2.45769	1.47555	3.37269	OK
CUFF.58	-	-	CUFF.58	-	-	chr1:13614912-13616041	-	-	1.59781	1.09224	2.11166	OK
CUFF.59	-	-	CUFF.59	-	-	chr1:13554775-13571168	-	-	16.9139	14.2855	19.5388	OK
CUFF.60	-	-	CUFF.60	-	-	chr1:13616738-13650623	-	-	2.59318	1.8965	3.28985	OK
CUFF.61	-	-	CUFF.61	-	-	chr1:13129242-13276084	-	-	3.94749	3.61266	4.28967	OK
CUFF.62	-	-	CUFF.62	-	-	chr1:15795761-15803204	-	-	1.27001	0.540851	1.98312	OK
CUFF.63	-	-	CUFF.63	-	-	chr1:15821591-15833396	-	-	2.47971	1.57799	3.38142	OK
CUFF.65	-	-	CUFF.65	-	-	chr1:16093246-16093538	-	-	178.528	110.785	135.279	OK
CUFF.66	-	-	CUFF.66	-	-	chr1:16121816-16122776	-	-	1.19487	0.727895	1.62706	OK
CUFF.64	-	-	CUFF.64	-	-	chr1:16097884-16119422	-	-	1.43637	0.696689	2.17715	OK
CUFF.67	-	-	CUFF.67	-	-	chr1:16093588-16094591	-	-	144.835	94.1716	114.788	OK
CUFF.68	-	-	CUFF.68	-	-	chr1:16555879-16556576	-	-	0.895043	0.412816	1.35639	OK
CUFF.69	-	-	CUFF.69	-	-	chr1:16588029-16592437	-	-	10.9588	3.69942	9.65959	OK
CUFF.70	-	-	CUFF.70	-	-	chr1:16559884-16575510	-	-	6.55264	5.69684	7.41111	OK
CUFF.72	-	-	CUFF.72	-	-	chr1:16091824-16092911	-	-	133.028	124.444	141.681	OK
CUFF.73	-	-	CUFF.73	-	-	chr1:16630097-16630614	-	-	1.37994	0.636049	2.06716	OK
CUFF.74	-	-	CUFF.74	-	-	chr1:16655291-16668237	-	-	4.01385	3.28281	4.77248	OK
CUFF.71	-	-	CUFF.71	-	-	chr1:16218957-16509306	-	-	7.26411	6.53454	7.99853	OK
CUFF.75	-	-	CUFF.75	-	-	chr1:16631591-16646963	-	-	12.9829	10.8024	17.9403	OK
CUFF.76	-	-	CUFF.76	-	-	chr1:16759241-16759464	-	-	10.0237	3.87084	9.21629	OK
CUFF.77	-	-	CUFF.77	-	-	chr1:16759808-16760179	-	-	2.80581	1.32953	3.767	OK
CUFF.78	-	-	CUFF.78	-	-	chr1:17152353-17154348	-	-	2.14739	1.71012	2.57548	OK
CUFF.79	-	-	CUFF.79	-	-	chr1:17135462-17152302	-	-	3.05759	2.49384	3.60951	OK
CUFF.80	-	-	CUFF.80	-	-	chr1:17388085-17388608	-	-	1.8948	0.943128	2.82938	OK
CUFF.81	-	-	CUFF.81	-	-	chr1:17387591-17387857	-	-	4.70413	1.85435	5.71756	OK
CUFF.82	-	-	CUFF.82	-	-	chr1:16985046-17087875	-	-	3.52901	3.13369	3.92656	OK
CUFF.83	-	-	CUFF.83	-	-	chr1:19321808-19321947	-	-	18.9608	3.25289	10.3501	OK
CUFF.84	-	-	CUFF.84	-	-	chr1:19321526-19321752	-	-	7.17576	2.72818	7.27516	OK
CUFF.85	-	-	CUFF.85	-	-	chr1:19322252-19322506	-	-	11.6091	5.34037	11.3281	OK
CUFF.86	-	-	CUFF.86	-	-	chr1:19322557-19322944	-	-	4.86917	2.65534	6.16039	OK
