tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
CUFF.1	-	-	CUFF.1	-	-	chr1:4132707-4196881	-	-	0.589583	0.271939	0.883802	OK
CUFF.2	-	-	CUFF.2	-	-	chr1:4342602-4402570	-	-	2.37884	1.53473	3.22294	OK
CUFF.3	-	-	CUFF.3	-	-	chr1:4683462-4683644	-	-	32.9752	2.8718	8.4359	OK
CUFF.4	-	-	CUFF.4	-	-	chr1:4678674-4679318	-	-	16.3087	10.3478	14.8116	OK
CUFF.5	-	-	CUFF.5	-	-	chr1:4754797-4775769	-	-	30.3487	27.7617	32.9428	OK
CUFF.6	-	-	CUFF.6	-	-	chr1:4761260-4762230	-	-	13.8698	10.2378	13.3024	OK
CUFF.11	-	-	CUFF.11	-	-	chr1:4797932-4836823	-	-	41.5314	39.9282	43.6705	OK
CUFF.8	-	-	CUFF.8	-	-	chr1:4847292-4848059	-	-	4.5769	2.85354	5.11082	OK
CUFF.9	-	-	CUFF.9	-	-	chr1:4857606-4879683	-	-	13.2815	4.65222	8.69763	OK
CUFF.10	-	-	CUFF.10	-	-	chr1:4869368-4870827	-	-	15.4784	12.6054	15.4266	OK
CUFF.12	-	-	CUFF.12	-	-	chr1:4880070-4883611	-	-	3.21242	2.5907	3.78183	OK
CUFF.13	-	-	CUFF.13	-	-	chr1:4883909-4885209	-	-	0.457018	0.220349	0.688589	OK
CUFF.14	-	-	CUFF.14	-	-	chr1:4886435-4889975	-	-	12.3609	11.1934	12.9928	OK
CUFF.15	-	-	CUFF.15	-	-	chr1:6370463-6371233	-	-	8.27809	5.47273	8.18788	OK
CUFF.16	-	-	CUFF.16	-	-	chr1:5073215-5152435	-	-	39.4281	37.2603	41.7832	OK
CUFF.19	-	-	CUFF.19	-	-	chr1:6906626-6906742	-	-	892.221	3.0977	9.85632	OK
CUFF.17	-	-	CUFF.17	-	-	chr1:4481029-4487599	-	-	34.6062	33.4165	36.2455	OK
CUFF.18	-	-	CUFF.18	-	-	chr1:4484263-4484968	-	-	5.53151	3.38251	5.8383	OK
CUFF.20	-	-	CUFF.20	-	-	chr1:7172225-7173018	-	-	0.645067	0.247163	0.988651	OK
CUFF.21	-	-	CUFF.21	-	-	chr1:7173317-7174473	-	-	0.605755	0.310842	0.876009	OK
CUFF.23	-	-	CUFF.23	-	-	chr1:7167757-7168802	-	-	1.34284	0.661183	1.98355	OK
CUFF.24	-	-	CUFF.24	-	-	chr1:7167757-7168802	-	-	5.93445	4.90177	6.99168	OK
CUFF.27	-	-	CUFF.27	-	-	chr1:7697224-7697504	-	-	3.95264	0.816667	3.38333	OK
CUFF.28	-	-	CUFF.28	-	-	chr1:7078331-7163706	-	-	14.3926	13.4865	14.9875	OK
CUFF.22	-	-	CUFF.22	-	-	chr1:6204337-6224170	-	-	2.74198	2.10343	3.38624	OK
CUFF.25	-	-	CUFF.25	-	-	chr1:6224311-6230418	-	-	10.3002	8.68903	11.9234	OK
CUFF.26	-	-	CUFF.26	-	-	chr1:6234185-6237824	-	-	3.81069	2.78349	4.3328	OK
CUFF.29	-	-	CUFF.29	-	-	chr1:6238143-6266366	-	-	14.7942	13.8485	15.6045	OK
CUFF.30	-	-	CUFF.30	-	-	chr1:8458518-8458754	-	-	26.1636	5.39831	10.7966	OK
CUFF.31	-	-	CUFF.31	-	-	chr1:8781750-8782295	-	-	24.6219	14.685	20.559	OK
CUFF.32	-	-	CUFF.32	-	-	chr1:9535503-9537490	-	-	3.40865	2.71263	3.92921	OK
CUFF.33	-	-	CUFF.33	-	-	chr1:9662316-9666394	-	-	0.951935	0.447489	1.42383	OK
CUFF.34	-	-	CUFF.34	-	-	chr1:9668555-9680208	-	-	1.04995	0.489975	1.61037	OK
CUFF.36	-	-	CUFF.36	-	-	chr1:9772189-9772426	-	-	70.9686	16.5401	24.948	OK
CUFF.35	-	-	CUFF.35	-	-	chr1:9591026-9621265	-	-	9.41491	7.87826	10.9518	OK
