tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
CUFF.1	-	-	CUFF.1	-	-	chr1:3047809-3048060	-	-	4.52907	0.660365	3.16975	OK
CUFF.2	-	-	CUFF.2	-	-	chr1:4482142-4483667	-	-	0.619485	0.327962	0.947447	OK
CUFF.3	-	-	CUFF.3	-	-	chr1:4683469-4683644	-	-	26.1956	1.8943	5.87234	OK
CUFF.4	-	-	CUFF.4	-	-	chr1:4678680-4679271	-	-	6.51967	3.70207	6.73103	OK
CUFF.5	-	-	CUFF.5	-	-	chr1:4761260-4762230	-	-	16.0291	11.8589	15.0714	OK
CUFF.6	-	-	CUFF.6	-	-	chr1:4847719-4848208	-	-	5.65087	2.77947	5.49116	OK
CUFF.7	-	-	CUFF.7	-	-	chr1:4766542-4775819	-	-	11.7193	10.1839	13.258	OK
CUFF.8	-	-	CUFF.8	-	-	chr1:4873194-4874220	-	-	0.433226	0.193861	0.646205	OK
CUFF.10	-	-	CUFF.10	-	-	chr1:4888375-4889450	-	-	0.632699	0.339212	0.925125	OK
CUFF.11	-	-	CUFF.11	-	-	chr1:4889536-4889966	-	-	1.61355	0.462562	2.08153	OK
CUFF.9	-	-	CUFF.9	-	-	chr1:4874642-4875305	-	-	0.69247	0.250002	1.10001	OK
CUFF.13	-	-	CUFF.13	-	-	chr1:4892492-4897842	-	-	4.47291	4.05239	4.83933	OK
CUFF.12	-	-	CUFF.12	-	-	chr1:4797915-4836812	-	-	12.3951	11.4162	13.4199	OK
CUFF.14	-	-	CUFF.14	-	-	chr1:4828290-4828921	-	-	3.41343	1.83877	3.94021	OK
CUFF.15	-	-	CUFF.15	-	-	chr1:4869272-4873139	-	-	7.54693	6.78951	8.29829	OK
CUFF.16	-	-	CUFF.16	-	-	chr1:5038388-5040659	-	-	0.393982	0.233556	0.540098	OK
CUFF.17	-	-	CUFF.17	-	-	chr1:5040944-5042331	-	-	0.57882	0.33461	0.812625	OK
CUFF.18	-	-	CUFF.18	-	-	chr1:5043425-5044307	-	-	0.760201	0.375854	1.12756	OK
CUFF.19	-	-	CUFF.19	-	-	chr1:4876112-4888270	-	-	3.60834	3.3327	3.88666	OK
CUFF.21	-	-	CUFF.21	-	-	chr1:6153912-6157096	-	-	0.776931	0.329963	3.08127	OK
CUFF.20	-	-	CUFF.20	-	-	chr1:5073196-5152243	-	-	23.1195	21.3459	24.9029	OK
CUFF.22	-	-	CUFF.22	-	-	chr1:6370905-6371233	-	-	3.265	0.909612	2.93097	OK
CUFF.23	-	-	CUFF.23	-	-	chr1:4897926-5011094	-	-	26.2402	25.0881	27.5533	OK
CUFF.24	-	-	CUFF.24	-	-	chr1:6430714-6430901	-	-	14.4292	1.06365	4.78641	OK
CUFF.25	-	-	CUFF.25	-	-	chr1:7167758-7168765	-	-	3.59957	2.46899	4.11498	OK
CUFF.26	-	-	CUFF.26	-	-	chr1:7341180-7342526	-	-	0.45657	0.246288	0.664976	OK
CUFF.27	-	-	CUFF.27	-	-	chr1:6203869-6237796	-	-	3.21377	2.82982	3.59904	OK
CUFF.28	-	-	CUFF.28	-	-	chr1:6238145-6265626	-	-	13.7818	12.9664	14.5973	OK
CUFF.29	-	-	CUFF.29	-	-	chr1:6245409-6246110	-	-	1.66804	0.85122	2.08076	OK
CUFF.30	-	-	CUFF.30	-	-	chr1:6246226-6246703	-	-	2.26187	0.903468	2.50191	OK
CUFF.31	-	-	CUFF.31	-	-	chr1:6247091-6247958	-	-	1.79659	1.03236	2.37061	OK
CUFF.32	-	-	CUFF.32	-	-	chr1:6248068-6250306	-	-	1.96928	1.5405	2.38481	OK
CUFF.33	-	-	CUFF.33	-	-	chr1:6259357-6260312	-	-	0.860247	0.451261	1.24965	OK
CUFF.34	-	-	CUFF.34	-	-	chr1:6261990-6262383	-	-	2.8398	0.927871	2.95232	OK
CUFF.35	-	-	CUFF.35	-	-	chr1:8781779-8782281	-	-	5.0561	2.44335	4.82066	OK
CUFF.36	-	-	CUFF.36	-	-	chr1:9511924-9512869	-	-	0.479355	0.210478	0.736674	OK
CUFF.37	-	-	CUFF.37	-	-	chr1:9513486-9514720	-	-	0.663185	0.376098	0.940244	OK
CUFF.38	-	-	CUFF.38	-	-	chr1:9520648-9521774	-	-	0.457626	0.206085	0.706579	OK
CUFF.39	-	-	CUFF.39	-	-	chr1:9526198-9527097	-	-	0.55659	0.221248	0.884992	OK
CUFF.40	-	-	CUFF.40	-	-	chr1:9532047-9533770	-	-	0.603236	0.384798	0.827315	OK
CUFF.41	-	-	CUFF.41	-	-	chr1:9533879-9535364	-	-	0.58327	0.217889	0.958711	OK
CUFF.42	-	-	CUFF.42	-	-	chr1:9533879-9535156	-	-	0.413058	0.182025	0.667426	OK
CUFF.43	-	-	CUFF.43	-	-	chr1:9572009-9572276	-	-	5.47354	1.11743	3.72475	OK
CUFF.44	-	-	CUFF.44	-	-	chr1:9612699-9617111	-	-	0.648021	0.444971	0.848225	OK
CUFF.45	-	-	CUFF.45	-	-	chr1:9772289-9772452	-	-	43.0541	2.23714	7.11816	OK
CUFF.46	-	-	CUFF.46	-	-	chr1:9889519-9890685	-	-	1.85722	1.22252	2.30289	OK
CUFF.48	-	-	CUFF.48	-	-	chr1:7079051-7163702	-	-	22.5315	21.8156	23.5851	OK
CUFF.49	-	-	CUFF.49	-	-	chr1:9932178-9934237	-	-	9.39422	8.36734	10.4252	OK
CUFF.47	-	-	CUFF.47	-	-	chr1:9657493-9690294	-	-	2.61485	2.32263	2.90725	OK
CUFF.52	-	-	CUFF.52	-	-	chr1:9673625-9674446	-	-	0.780967	0.363402	1.17096	OK
CUFF.53	-	-	CUFF.53	-	-	chr1:9710340-9738502	-	-	7.7531	7.32446	8.20672	OK
CUFF.54	-	-	CUFF.54	-	-	chr1:10014995-10028240	-	-	28.3448	26.3487	30.3858	OK
CUFF.50	-	-	CUFF.50	-	-	chr1:9788215-9889385	-	-	3.08814	2.52607	3.65351	OK
CUFF.51	-	-	CUFF.51	-	-	chr1:9792380-9792565	-	-	31.5214	3.04624	8.24278	OK
CUFF.55	-	-	CUFF.55	-	-	chr1:11289931-11290090	-	-	36.0126	1.66794	6.04628	OK
CUFF.56	-	-	CUFF.56	-	-	chr1:11290266-11294091	-	-	3.82428	3.35403	4.26404	OK
