tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
CUFF.1	-	-	CUFF.1	-	-	chr1:3047799-3048061	-	-	4.91361	0.773533	2.96521	OK
CUFF.2	-	-	CUFF.2	-	-	chr1:4678682-4679319	-	-	3.77139	2.06802	3.97696	OK
CUFF.3	-	-	CUFF.3	-	-	chr1:4761242-4762230	-	-	14.2854	10.4957	13.6751	OK
CUFF.4	-	-	CUFF.4	-	-	chr1:4847822-4848059	-	-	31.731	6.41347	11.8293	OK
CUFF.5	-	-	CUFF.5	-	-	chr1:4764539-4775911	-	-	19.9212	17.8998	21.953	OK
CUFF.7	-	-	CUFF.7	-	-	chr1:4888227-4889899	-	-	0.660609	0.42424	0.888884	OK
CUFF.8	-	-	CUFF.8	-	-	chr1:4892521-4893199	-	-	1.38205	0.647653	1.7935	OK
CUFF.6	-	-	CUFF.6	-	-	chr1:4797932-4836836	-	-	12.7453	11.7536	13.7467	OK
CUFF.9	-	-	CUFF.9	-	-	chr1:4893263-4893962	-	-	0.894462	0.386582	1.40136	OK
CUFF.10	-	-	CUFF.10	-	-	chr1:4894063-4897726	-	-	1.04042	0.829917	1.24488	OK
CUFF.11	-	-	CUFF.11	-	-	chr1:5152568-5153247	-	-	0.827539	0.298477	1.34314	OK
CUFF.13	-	-	CUFF.13	-	-	chr1:4898112-5011240	-	-	4.85229	4.41865	5.28593	OK
CUFF.12	-	-	CUFF.12	-	-	chr1:3189822-3661594	-	-	7.57555	7.24277	7.99501	OK
CUFF.14	-	-	CUFF.14	-	-	chr1:3649125-3649741	-	-	1.66188	0.767673	2.08368	OK
CUFF.15	-	-	CUFF.15	-	-	chr1:4869368-4877363	-	-	14.7019	12.6223	15.3915	OK
CUFF.16	-	-	CUFF.16	-	-	chr1:4877496-4879062	-	-	0.637869	0.388248	0.884344	OK
CUFF.17	-	-	CUFF.17	-	-	chr1:4879186-4887926	-	-	4.2621	3.89582	4.63227	OK
CUFF.18	-	-	CUFF.18	-	-	chr1:4880924-4881641	-	-	0.895958	0.376877	1.36618	OK
CUFF.19	-	-	CUFF.19	-	-	chr1:5073180-5152514	-	-	33.0162	31.4032	34.6296	OK
CUFF.20	-	-	CUFF.20	-	-	chr1:6370451-6370724	-	-	3.87926	0.618638	2.96946	OK
CUFF.21	-	-	CUFF.21	-	-	chr1:6430720-6430918	-	-	15.0372	1.36475	4.94723	OK
CUFF.22	-	-	CUFF.22	-	-	chr1:7167755-7168762	-	-	6.86318	4.89725	7.2117	OK
CUFF.23	-	-	CUFF.23	-	-	chr1:6204736-6230435	-	-	7.10073	6.17217	8.03757	OK
CUFF.24	-	-	CUFF.24	-	-	chr1:6230588-6231613	-	-	0.525376	0.230676	0.79089	OK
CUFF.25	-	-	CUFF.25	-	-	chr1:6232761-6233622	-	-	0.70391	0.313845	1.05923	OK
CUFF.26	-	-	CUFF.26	-	-	chr1:6234185-6237824	-	-	8.6148	7.07714	10.1632	OK
CUFF.28	-	-	CUFF.28	-	-	chr1:6238146-6266391	-	-	12.815	12.1854	13.4451	OK
CUFF.29	-	-	CUFF.29	-	-	chr1:6248329-6248792	-	-	2.83308	1.09431	3.06406	OK
