tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
CUFF.1.1	-	-	CUFF.1	-	-	chr1:3190765-3192012	1247	3.41609	0.738395	0.420171	1.05043	OK
CUFF.2.1	-	-	CUFF.2	-	-	chr1:3192730-3194356	1626	2.72902	0.544508	0.322234	0.759552	OK
CUFF.3.1	-	-	CUFF.3	-	-	chr1:3661196-3661605	409	9.78415	1.97754	0.549025	2.47061	OK
CUFF.4.1	-	-	CUFF.4	-	-	chr1:3195826-3197151	1325	4.68585	1.01559	0.6214	1.38403	OK
CUFF.5.1	-	-	CUFF.5	-	-	chr1:3204156-3206007	1851	3.9955	0.762692	0.505473	1.03116	OK
CUFF.7.1	-	-	CUFF.7	-	-	chr1:4683464-4683633	169	97.9012	24.9404	1.32871	5.09337	OK
CUFF.8.1	-	-	CUFF.8	-	-	chr1:4678681-4679318	637	28.2055	6.28719	3.70139	6.46275	OK
CUFF.9.1	-	-	CUFF.9	-	-	chr1:4761260-4762230	970	98.1189	20.4624	15.3173	19.4843	OK
CUFF.10.1	-	-	CUFF.10	-	-	chr1:4847805-4848058	253	129.65	27.5882	6.80458	12.7216	OK
CUFF.13.1	-	-	CUFF.13	-	-	chr1:4869368-4870818	1450	44.7639	8.52452	6.73654	9.05948	OK
CUFF.12.1	-	-	CUFF.12	-	-	chr1:4764518-4775814	685	36.9782	7.20568	5.28925	9.08857	OK
CUFF.12.2	-	-	CUFF.12	-	-	chr1:4766470-4775814	1018	90.6851	17.6712	15.6802	19.6674	OK
CUFF.11.1	-	-	CUFF.11	-	-	chr1:4797941-4822453	330	20.219	4.2455	1.24751	3.85593	OK
CUFF.15.1	-	-	CUFF.15	-	-	chr1:4827080-4836801	2112	12.1474	2.40404	1.93976	2.85144	OK
CUFF.16.1	-	-	CUFF.16	-	-	chr1:4835028-4836801	1773	1.85079	0.366283	0.141194	0.61184	OK
CUFF.6.1	-	-	CUFF.6	-	-	chr1:3206139-3661144	1622	4.41064	0.96998	0.624024	1.30005	OK
CUFF.6.2	-	-	CUFF.6	-	-	chr1:3313364-3661144	1189	6.03595	1.32741	0.855327	1.82222	OK
CUFF.14.1	-	-	CUFF.14	-	-	chr1:3522569-3522705	136	583.582	129.747	1.65111	7.43001	OK
CUFF.17.1	-	-	CUFF.17	-	-	chr1:4878791-4879973	1182	4.85103	1.01111	0.60159	1.39316	OK
CUFF.18.1	-	-	CUFF.18	-	-	chr1:4880117-4884826	3362	7.66818	1.51849	1.23563	1.80336	OK
CUFF.19.1	-	-	CUFF.19	-	-	chr1:4885373-4885760	387	9.83439	1.82205	0.48353	2.32094	OK
CUFF.20.1	-	-	CUFF.20	-	-	chr1:4900042-4907058	1017	8.47341	1.70446	1.03039	2.31838	OK
CUFF.21.1	-	-	CUFF.21	-	-	chr1:6430255-6430618	363	9.44102	2.05785	0.515499	2.47439	OK
CUFF.22.1	-	-	CUFF.22	-	-	chr1:6430734-6430902	168	145.423	30.4574	1.78215	6.4603	OK
CUFF.24.1	-	-	CUFF.24	-	-	chr1:7167756-7168751	995	42.1736	8.15726	5.86767	8.72628	OK
CUFF.27.1	-	-	CUFF.27	-	-	chr1:5073143-5152385	1787	108.948	20.883	19.1048	22.6738	OK
CUFF.27.2	-	-	CUFF.27	-	-	chr1:5073143-5152385	1841	130.097	24.9367	22.7931	27.0809	OK
CUFF.27.3	-	-	CUFF.27	-	-	chr1:5073535-5152385	1796	40.1623	7.69824	6.56471	8.838	OK
CUFF.28.1	-	-	CUFF.28	-	-	chr1:7079060-7163587	4820	8.64871	1.66268	1.35582	1.96916	OK
CUFF.28.2	-	-	CUFF.28	-	-	chr1:7079060-7163587	5050	25.4162	4.88617	4.40579	5.36692	OK
CUFF.23.1	-	-	CUFF.23	-	-	chr1:6204370-6228525	1374	7.48023	1.57067	1.06229	2.04286	OK
CUFF.25.1	-	-	CUFF.25	-	-	chr1:6230033-6235059	671	13.6771	2.71877	1.60927	3.83159	OK
CUFF.25.2	-	-	CUFF.25	-	-	chr1:6230033-6237890	1395	10.4856	2.08435	1.5126	2.68563	OK
CUFF.26.1	-	-	CUFF.26	-	-	chr1:6238151-6265555	4171	12.0798	2.29658	1.95178	2.64617	OK
CUFF.26.2	-	-	CUFF.26	-	-	chr1:6238151-6240666	2045	14.0413	2.66949	2.03139	3.29415	OK
CUFF.26.3	-	-	CUFF.26	-	-	chr1:6238151-6258918	2767	7.11547	1.35277	1.00089	1.70422	OK
CUFF.29.1	-	-	CUFF.29	-	-	chr1:8352924-8404381	888	10.023	1.9808	1.18007	2.65517	OK
CUFF.30.1	-	-	CUFF.30	-	-	chr1:6477347-6848608	3418	9.90842	2.00725	1.59632	2.42918	OK
CUFF.30.2	-	-	CUFF.30	-	-	chr1:6477347-6848608	3371	32.4851	6.58083	5.91596	7.2541	OK
CUFF.31.1	-	-	CUFF.31	-	-	chr1:9535471-9537530	2059	73.7971	14.3807	12.3236	15.1773	OK
CUFF.35.1	-	-	CUFF.35	-	-	chr1:9658957-9660035	1078	2.36884	0.459782	0.208304	0.694345	OK
CUFF.36.1	-	-	CUFF.36	-	-	chr1:9661774-9668376	938	3.34271	0.644088	0.319192	0.997474	OK
CUFF.32.1	-	-	CUFF.32	-	-	chr1:8435123-8872260	1311	7.5499	1.76767	1.14188	2.36941	OK
CUFF.32.2	-	-	CUFF.32	-	-	chr1:8435123-9289339	2200	8.13563	1.90481	1.46556	2.35603	OK
CUFF.32.3	-	-	CUFF.32	-	-	chr1:8435123-9289191	2419	2.20963	0.517344	0.251021	0.786534	OK
CUFF.32.4	-	-	CUFF.32	-	-	chr1:9092484-9289191	1429	6.6835	1.56482	1.05095	2.07188	OK
CUFF.33.1	-	-	CUFF.33	-	-	chr1:8781991-8782241	250	50.5429	9.96197	1.94611	5.68863	OK
CUFF.37.1	-	-	CUFF.37	-	-	chr1:9671871-9682867	729	6.1002	1.43844	0.821967	2.05492	OK
CUFF.34.1	-	-	CUFF.34	-	-	chr1:9538168-9548391	673	6.56643	1.28471	0.556095	2.00194	OK
CUFF.34.2	-	-	CUFF.34	-	-	chr1:9538168-9566784	1832	6.62956	1.29706	0.884931	1.70179	OK
CUFF.34.3	-	-	CUFF.34	-	-	chr1:9539813-9550363	1170	4.58446	0.896944	0.447823	1.34347	OK
CUFF.34.4	-	-	CUFF.34	-	-	chr1:9548495-9566784	1018	6.48934	1.26963	0.716808	1.83682	OK
CUFF.38.1	-	-	CUFF.38	-	-	chr1:9772308-9772426	118	9878.39	3566.55	15.541	31.082	OK
CUFF.39.1	-	-	CUFF.39	-	-	chr1:9889511-9890692	1181	10.4199	2.39911	1.61616	3.10556	OK
CUFF.40.1	-	-	CUFF.40	-	-	chr1:9933747-9934257	510	8.94318	2.51397	1.10074	2.93531	OK
CUFF.41.1	-	-	CUFF.41	-	-	chr1:9932185-9933580	1010	31.9238	7.96112	6.69458	9.22767	OK
CUFF.42.1	-	-	CUFF.42	-	-	chr1:9710649-9738468	7807	14.6114	2.7881	2.53113	3.04406	OK
CUFF.46.1	-	-	CUFF.46	-	-	chr1:10062801-10063424	623	4.35754	0.849826	0.300363	1.38167	OK
CUFF.43.1	-	-	CUFF.43	-	-	chr1:9788235-9889379	2113	17.62	3.63423	3.08262	4.16832	OK
CUFF.43.2	-	-	CUFF.43	-	-	chr1:9788242-9858594	541	15.9697	3.29386	1.52191	3.87396	OK
CUFF.45.1	-	-	CUFF.45	-	-	chr1:9792375-9792562	187	203.935	42.5926	4.40297	11.0074	OK
CUFF.44.1	-	-	CUFF.44	-	-	chr1:10028349-10056845	920	2.85925	0.567582	0.203019	0.964338	OK
CUFF.44.2	-	-	CUFF.44	-	-	chr1:10028349-10056845	808	5.67284	1.1261	0.598444	1.67564	OK
CUFF.48.1	-	-	CUFF.48	-	-	chr1:10124108-10126834	1023	7.45143	1.42509	0.841427	1.97552	OK
CUFF.47.1	-	-	CUFF.47	-	-	chr1:10078151-10117596	1490	2.17893	0.461368	0.200384	0.744282	OK
CUFF.47.2	-	-	CUFF.47	-	-	chr1:10078151-10117596	1557	5.00051	1.05881	0.680768	1.44323	OK
CUFF.49.1	-	-	CUFF.49	-	-	chr1:10014938-10028249	1482	330.081	63.9415	60.7732	67.4266	OK
CUFF.51.1	-	-	CUFF.51	-	-	chr1:11292674-11292930	256	23.6031	4.60318	0.730961	3.50861	OK
CUFF.50.1	-	-	CUFF.50	-	-	chr1:11194165-11287911	895	3.11914	0.682966	0.334527	1.00358	OK
CUFF.55.1	-	-	CUFF.55	-	-	chr1:12838435-12849920	1162	8.04519	1.50943	0.93402	2.02908	OK
CUFF.53.1	-	-	CUFF.53	-	-	chr1:12682549-12718767	309	21.7834	5.47726	1.45341	4.48134	OK
CUFF.54.1	-	-	CUFF.54	-	-	chr1:12849984-12850863	879	8.41213	1.66603	0.936695	2.34174	OK
CUFF.56.1	-	-	CUFF.56	-	-	chr1:12776165-12830529	2116	5.90315	1.1808	0.848965	1.50338	OK
CUFF.59.1	-	-	CUFF.59	-	-	chr1:12831523-12838322	389	13.1504	2.70713	0.865879	2.88626	OK
CUFF.52.1	-	-	CUFF.52	-	-	chr1:10127680-10149816	2981	5.57282	1.08608	0.775687	1.39089	OK
CUFF.52.2	-	-	CUFF.52	-	-	chr1:10127680-10149816	3034	29.1476	5.68052	5.0795	6.30015	OK
CUFF.57.1	-	-	CUFF.57	-	-	chr1:10149955-10179760	2174	30.7003	5.99692	5.09561	6.76546	OK
CUFF.58.1	-	-	CUFF.58	-	-	chr1:10184339-10223161	2147	24.7645	4.83743	4.21048	5.46791	OK
CUFF.60.1	-	-	CUFF.60	-	-	chr1:13615031-13650605	2851	11.7865	2.26511	1.89344	2.62276	OK
CUFF.61.1	-	-	CUFF.61	-	-	chr1:13554857-13579996	2864	72.2749	14.2157	12.6493	14.9361	OK
CUFF.62.1	-	-	CUFF.62	-	-	chr1:14159073-14173349	2217	13.8514	2.70427	2.14389	3.24116	OK
CUFF.63.1	-	-	CUFF.63	-	-	chr1:14173458-14294754	1487	10.0251	1.98791	1.35909	2.59233	OK
CUFF.63.2	-	-	CUFF.63	-	-	chr1:14173458-14300237	2043	12.5511	2.48879	1.96011	3.00428	OK
CUFF.64.1	-	-	CUFF.64	-	-	chr1:13129298-13363716	7846	22.7594	4.45858	4.03878	4.88365	OK
CUFF.64.2	-	-	CUFF.64	-	-	chr1:13129298-13364256	8039	17.7157	3.47052	3.14403	3.79665	OK
CUFF.66.1	-	-	CUFF.66	-	-	chr1:16094687-16095307	620	5.542	1.19791	0.482906	1.75053	OK
CUFF.67.1	-	-	CUFF.67	-	-	chr1:16095398-16096384	986	8.29749	1.72364	1.02483	2.35331	OK
CUFF.68.1	-	-	CUFF.68	-	-	chr1:16097902-16123263	2475	12.3492	2.46522	1.98089	2.91841	OK
CUFF.65.1	-	-	CUFF.65	-	-	chr1:15795739-15809229	732	7.42302	1.38372	0.664655	2.09622	OK
CUFF.65.2	-	-	CUFF.65	-	-	chr1:15795739-15812058	928	5.29624	0.987273	0.483947	1.45184	OK
CUFF.65.3	-	-	CUFF.65	-	-	chr1:15809839-15833442	702	7.04492	1.31324	0.576465	2.01763	OK
CUFF.65.4	-	-	CUFF.65	-	-	chr1:15821587-15833442	608	11.2328	2.0939	1.14372	3.07923	OK
CUFF.69.1	-	-	CUFF.69	-	-	chr1:16655285-16668276	1635	29.7692	5.74633	4.55512	6.54655	OK
CUFF.70.1	-	-	CUFF.70	-	-	chr1:16091224-16094630	3056	104.926	20.9253	19.7587	22.2073	OK
CUFF.71.1	-	-	CUFF.71	-	-	chr1:16218809-16509306	2894	13.5598	2.75827	2.2913	3.21611	OK
CUFF.71.2	-	-	CUFF.71	-	-	chr1:16335484-16509306	1836	37.0001	7.52641	6.58697	8.48837	OK
CUFF.73.1	-	-	CUFF.73	-	-	chr1:16759043-16759656	613	10.3255	2.17391	1.03789	2.80842	OK
CUFF.74.1	-	-	CUFF.74	-	-	chr1:16759808-16760170	362	9.64428	2.06896	0.516923	2.48123	OK
CUFF.75.1	-	-	CUFF.75	-	-	chr1:16631825-16646962	1991	73.5582	14.0108	12.8105	15.2112	OK
CUFF.76.1	-	-	CUFF.76	-	-	chr1:16629920-16631223	1303	6.49068	1.23595	0.775503	1.6659	OK
CUFF.77.1	-	-	CUFF.77	-	-	chr1:17387604-17387849	245	30.9579	7.29996	1.22205	4.42992	OK
CUFF.78.1	-	-	CUFF.78	-	-	chr1:17388079-17388443	364	34.8617	7.26632	2.67323	6.06617	OK
CUFF.79.1	-	-	CUFF.79	-	-	chr1:17388494-17388799	305	21.6348	4.45373	1.10435	3.68117	OK
CUFF.72.1	-	-	CUFF.72	-	-	chr1:16560454-16609383	1323	25.0762	4.75178	3.77411	5.74321	OK
CUFF.72.2	-	-	CUFF.72	-	-	chr1:16560454-16609383	1402	48.1928	9.13223	7.94926	10.3432	OK
CUFF.80.1	-	-	CUFF.80	-	-	chr1:16985026-17087799	4207	6.29621	1.24633	1.02303	1.46783	OK
CUFF.80.2	-	-	CUFF.80	-	-	chr1:16987275-17087799	2381	5.76042	1.14027	0.81735	1.47752	OK
CUFF.81.1	-	-	CUFF.81	-	-	chr1:17135461-17154295	3873	12.2814	2.34511	1.99784	2.68745	OK
CUFF.81.2	-	-	CUFF.81	-	-	chr1:17149931-17154295	3276	3.37433	0.644324	0.411349	0.883191	OK
CUFF.82.1	-	-	CUFF.82	-	-	chr1:19321526-19322086	560	10.704	2.37981	1.06929	3.14104	OK
CUFF.83.1	-	-	CUFF.83	-	-	chr1:19322252-19322505	253	105.261	21.4046	5.02948	10.3548	OK
CUFF.84.1	-	-	CUFF.84	-	-	chr1:20793090-20810318	2915	1.54903	0.304283	0.13697	0.479393	OK
CUFF.84.2	-	-	CUFF.84	-	-	chr1:20793090-20810318	2914	10.2039	2.00439	1.64424	2.35674	OK
CUFF.85.1	-	-	CUFF.85	-	-	chr1:20986897-20987888	991	10.745	2.08336	1.28401	2.64356	OK
CUFF.86.1	-	-	CUFF.86	-	-	chr1:20988077-20990992	2915	4.80534	0.958787	0.718975	1.19401	OK
CUFF.88.1	-	-	CUFF.88	-	-	chr1:21388493-21389912	1419	4.57466	0.877833	0.553862	1.18685	OK
CUFF.89.1	-	-	CUFF.89	-	-	chr1:21390252-21390971	719	4.51922	1.04661	0.468466	1.56155	OK
CUFF.90.1	-	-	CUFF.90	-	-	chr1:21391282-21392607	1325	8.57599	1.63804	1.10157	2.11841	OK
CUFF.87.1	-	-	CUFF.87	-	-	chr1:20995556-21069273	796	9.55043	2.07452	1.40335	2.74568	OK
CUFF.92.1	-	-	CUFF.92	-	-	chr1:21501981-21503162	1181	102.433	20.355	18.4057	22.2668	OK
