tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
CUFF.1.1	-	-	CUFF.1	-	-	chr1:3047809-3048068	259	21.1853	5.35023	0.818164	3.27266	OK
CUFF.2.1	-	-	CUFF.2	-	-	chr1:3665320-3666255	935	4.36734	0.763581	0.377726	1.13318	OK
CUFF.3.1	-	-	CUFF.3	-	-	chr1:4678681-4679320	639	16.8305	3.81745	2.04498	3.86889	OK
CUFF.4.1	-	-	CUFF.4	-	-	chr1:4683462-4683645	183	68.4504	15.957	0.964957	4.63179	OK
CUFF.5.1	-	-	CUFF.5	-	-	chr1:4480778-4482808	2030	4.29977	0.796894	0.504535	1.07866	OK
CUFF.6.1	-	-	CUFF.6	-	-	chr1:4481149-4484915	3335	6.29202	1.16613	0.889554	1.44023	OK
CUFF.6.2	-	-	CUFF.6	-	-	chr1:4481149-4486924	2216	5.90113	1.09368	0.768895	1.43294	OK
CUFF.6.3	-	-	CUFF.6	-	-	chr1:4481149-4486924	3724	8.27949	1.53447	1.23094	1.8314	OK
CUFF.7.1	-	-	CUFF.7	-	-	chr1:4761260-4762230	970	73.0291	14.3997	10.4496	13.5444	OK
CUFF.8.1	-	-	CUFF.8	-	-	chr1:4764504-4775814	699	20.0233	3.6492	2.31225	4.97484	OK
CUFF.8.2	-	-	CUFF.8	-	-	chr1:4766464-4775814	1024	70.3403	12.8193	11.2465	14.399	OK
CUFF.10.1	-	-	CUFF.10	-	-	chr1:4797926-4836812	2476	63.5829	11.9916	11.0394	12.9593	OK
CUFF.9.1	-	-	CUFF.9	-	-	chr1:4847405-4848059	654	18.4811	3.84668	2.10609	4.05016	OK
CUFF.11.1	-	-	CUFF.11	-	-	chr1:4869368-4871157	1789	143.136	25.9856	22.0512	25.881	OK
CUFF.12.1	-	-	CUFF.12	-	-	chr1:5152622-5153274	652	6.85023	1.31359	0.595846	1.84171	OK
CUFF.15.1	-	-	CUFF.15	-	-	chr1:4876732-4887967	6142	8.4741	1.57175	1.32432	1.82317	OK
CUFF.15.2	-	-	CUFF.15	-	-	chr1:4876916-4887967	8586	3.79615	0.704097	0.568208	0.841789	OK
CUFF.15.3	-	-	CUFF.15	-	-	chr1:4880889-4887967	5731	10.3513	1.91993	1.63954	2.20094	OK
CUFF.22.1	-	-	CUFF.22	-	-	chr1:5904864-5905743	879	4.42958	0.774462	0.361612	1.16519	OK
CUFF.23.1	-	-	CUFF.23	-	-	chr1:5903801-5904808	1007	5.34827	0.956832	0.526079	1.33273	OK
CUFF.24.1	-	-	CUFF.24	-	-	chr1:5905989-5907240	1251	3.72998	0.668867	0.367008	0.959866	OK
CUFF.18.1	-	-	CUFF.18	-	-	chr1:5578983-5596200	4624	5.54279	1.03264	0.847802	1.21442	OK
