tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
CUFF.1	-	-	CUFF.1	-	-	chr1:3664700-3666712	-	-	0.658657	0.424664	0.883301	OK
CUFF.2	-	-	CUFF.2	-	-	chr1:4678681-4679319	-	-	4.3287	2.35703	4.55336	OK
CUFF.4	-	-	CUFF.4	-	-	chr1:4761260-4762230	-	-	13.3333	9.65411	12.8604	OK
CUFF.3	-	-	CUFF.3	-	-	chr1:4481047-4487228	-	-	4.71386	4.15043	5.2747	OK
CUFF.5	-	-	CUFF.5	-	-	chr1:4484326-4485055	-	-	1.08984	0.515702	1.59399	OK
CUFF.6	-	-	CUFF.6	-	-	chr1:4764541-4773184	-	-	8.24343	7.08186	9.40501	OK
CUFF.8	-	-	CUFF.8	-	-	chr1:4774119-4775820	-	-	43.5173	8.32516	15.3358	OK
CUFF.9	-	-	CUFF.9	-	-	chr1:4892492-4897846	-	-	1.68297	1.44904	1.90865	OK
CUFF.10	-	-	CUFF.10	-	-	chr1:4797906-4836813	-	-	10.8794	9.95109	11.8076	OK
CUFF.15	-	-	CUFF.15	-	-	chr1:5592693-5596212	-	-	0.843339	0.650712	1.02949	OK
CUFF.16	-	-	CUFF.16	-	-	chr1:5578541-5592592	-	-	0.482353	0.21418	0.734331	OK
CUFF.21	-	-	CUFF.21	-	-	chr1:5073188-5152303	-	-	37.4251	35.2092	39.7388	OK
CUFF.24	-	-	CUFF.24	-	-	chr1:5905904-5906654	-	-	0.616788	0.227846	1.00252	OK
CUFF.25	-	-	CUFF.25	-	-	chr1:5903875-5905729	-	-	0.638971	0.405552	0.866406	OK
CUFF.11	-	-	CUFF.11	-	-	chr1:4847365-4848233	-	-	2.49166	1.49623	2.87433	OK
CUFF.18	-	-	CUFF.18	-	-	chr1:4869368-4871045	-	-	23.8655	20.0334	23.6814	OK
CUFF.22	-	-	CUFF.22	-	-	chr1:4876536-4884072	-	-	1.81866	1.55228	2.08515	OK
CUFF.23	-	-	CUFF.23	-	-	chr1:4884201-4886244	-	-	0.703111	0.468407	0.936814	OK
CUFF.26	-	-	CUFF.26	-	-	chr1:4888547-4889513	-	-	0.488172	0.212279	0.742978	OK
CUFF.12	-	-	CUFF.12	-	-	chr1:4897939-5011244	-	-	8.18012	7.56546	8.79981	OK
CUFF.29	-	-	CUFF.29	-	-	chr1:6153897-6157123	-	-	0.603774	0.332076	0.875472	OK
CUFF.31	-	-	CUFF.31	-	-	chr1:6200410-6201378	-	-	0.575436	0.282454	0.88267	OK
CUFF.32	-	-	CUFF.32	-	-	chr1:6202194-6202903	-	-	0.799282	0.289227	1.30152	OK
CUFF.13	-	-	CUFF.13	-	-	chr1:3189844-3661670	-	-	3.61631	3.35115	3.89229	OK
CUFF.14	-	-	CUFF.14	-	-	chr1:3189844-3197441	-	-	3.80933	3.45874	4.15603	OK
CUFF.17	-	-	CUFF.17	-	-	chr1:3200364-3200848	-	-	2.13137	0.776749	2.47147	OK
CUFF.19	-	-	CUFF.19	-	-	chr1:3277054-3277407	-	-	3.5667	0.968186	3.0982	OK
CUFF.20	-	-	CUFF.20	-	-	chr1:3277756-3278487	-	-	2.61862	1.44937	3.1325	OK
